Id,Year Built,Full Bath,TotRms AbvGrd,Garage Cars
2846,1916,2,10,0.0
493,1999,2,8,2.0
694,1935,1,6,1.0
2283,1961,1,7,4.0
1800,2007,2,8,3.0
1632,1986,1,5,2.0
2624,1959,1,6,1.0
2197,1923,1,7,1.0
1045,1971,1,5,1.0
2549,1958,1,6,1.0
2829,2004,2,7,2.0
2480,1992,2,7,2.0
2724,1965,0,3,1.0
2352,1975,2,6,2.0
1783,2006,2,7,3.0
338,1991,1,6,2.0
196,1940,1,6,2.0
762,1946,1,4,1.0
151,1955,1,5,1.0
158,1948,1,6,1.0
2572,1963,1,5,2.0
1686,2007,2,9,3.0
943,1915,1,6,0.0
735,1937,1,4,2.0
2741,1955,1,6,1.0
1106,1995,2,7,3.0
2375,1967,1,6,1.0
1701,2005,2,9,3.0
2657,1920,1,5,1.0
907,1932,1,6,1.0
1777,2007,2,6,3.0
164,1952,2,6,2.0
1973,1962,1,6,1.0
2857,1941,1,6,1.0
1208,1963,2,6,2.0
319,2009,2,8,3.0
2567,1964,1,6,2.0
2222,1940,1,6,1.0
2493,1963,1,5,2.0
1757,2000,2,8,2.0
184,1900,2,7,1.0
1248,1953,1,5,2.0
2574,1959,1,6,1.0
1215,1961,1,5,2.0
1614,1973,2,8,2.0
2039,1920,1,6,1.0
2669,1958,1,5,2.0
1005,1998,2,7,2.0
753,1912,1,8,0.0
1275,1954,1,4,1.0
2350,1980,2,7,2.0
2762,2005,2,7,2.0
2788,1972,1,5,1.0
2384,2006,2,8,3.0
2716,1968,2,7,2.0
313,1976,1,6,3.0
84,1978,2,8,2.0
81,1984,2,6,2.0
2389,2005,2,10,3.0
280,1976,1,6,2.0
190,1885,2,11,2.0
2371,1972,1,5,1.0
213,1940,1,5,1.0
1864,1968,1,7,2.0
37,2009,2,10,3.0
146,1960,1,6,2.0
809,1979,0,6,2.0
767,1925,2,6,1.0
262,1976,1,5,1.0
101,2000,2,5,2.0
48,2002,2,7,3.0
489,2000,2,7,2.0
2369,1971,1,7,0.0
707,1954,2,7,1.0
1556,1920,1,6,1.0
2034,1914,1,7,0.0
308,1896,1,5,1.0
2176,1976,1,6,1.0
1549,1940,1,4,1.0
909,1940,2,7,1.0
892,2007,2,8,3.0
2045,1937,1,7,2.0
2927,1983,1,5,2.0
1732,2006,2,7,2.0
998,1996,2,7,2.0
2203,1921,1,7,1.0
356,1998,2,7,2.0
2475,2004,1,5,2.0
2264,2006,2,6,3.0
2201,1937,1,7,1.0
2545,1965,2,7,1.0
2660,1914,1,6,2.0
2882,1951,2,8,0.0
1379,1978,1,6,2.0
491,1999,2,8,3.0
1002,1993,2,5,2.0
1848,2004,2,4,2.0
1455,2002,2,7,2.0
908,1920,1,3,1.0
1490,1976,1,6,2.0
1465,2003,2,9,2.0
1627,1992,2,6,2.0
2849,1945,1,6,1.0
1501,1955,2,6,0.0
626,1966,2,5,2.0
722,1920,1,7,2.0
2260,2006,2,7,2.0
1639,1969,1,7,3.0
1603,1983,1,4,1.0
1520,1921,2,7,1.0
1665,1972,1,7,2.0
2635,1962,1,6,0.0
581,1970,2,6,2.0
2435,2000,2,7,2.0
2799,1998,2,8,3.0
883,2005,2,7,2.0
2537,1968,1,6,1.0
1120,2006,2,6,2.0
774,1978,1,5,2.0
1447,1978,1,5,2.0
104,2003,2,4,2.0
2694,1937,2,7,1.0
920,1940,1,6,2.0
1951,1895,1,6,0.0
9,1995,2,5,2.0
2848,1938,2,6,1.0
614,1955,1,5,1.0
1736,2007,2,6,2.0
2686,1925,1,4,1.0
2257,1998,1,5,1.0
1284,2008,1,7,1.0
1765,1998,2,9,3.0
1811,1994,2,7,2.0
2603,1910,1,7,2.0
2220,1945,2,9,1.0
2273,2003,3,10,2.0
163,1959,1,6,1.0
2116,1958,2,7,2.0
2734,1942,1,6,1.0
426,2007,2,7,3.0
2216,1930,2,7,1.0
2900,2002,2,7,3.0
97,2004,2,4,2.0
1680,1971,1,6,2.0
1133,2003,2,7,2.0
2761,2005,2,8,2.0
1642,2006,1,7,2.0
1141,1993,2,7,2.0
2118,1966,2,9,2.0
870,1999,2,5,2.0
1875,1967,1,5,1.0
155,1955,1,5,1.0
1318,1914,2,9,0.0
1285,1925,1,4,2.0
2400,2003,2,6,3.0
1068,2001,2,10,3.0
361,1992,2,7,2.0
1493,1972,2,6,2.0
1110,1994,2,7,2.0
911,1935,1,6,1.0
2535,1968,1,4,2.0
2030,1901,1,6,1.0
2634,1962,1,5,1.0
1530,1936,1,6,1.0
435,2008,2,7,3.0
812,1979,2,8,2.0
1202,1966,1,7,2.0
666,1890,1,4,1.0
1751,2004,2,7,2.0
705,1953,1,4,2.0
1744,2003,2,7,3.0
357,1993,2,7,2.0
2133,2003,2,7,2.0
989,1969,1,7,2.0
562,1965,1,5,1.0
1054,2008,2,11,3.0
2850,1926,1,6,1.0
1082,2004,2,7,3.0
1440,1999,2,6,2.0
2006,1925,1,6,1.0
2082,1958,1,5,1.0
2344,1988,2,9,3.0
248,1993,2,8,2.0
2276,2006,2,8,3.0
755,1927,2,8,1.0
1178,1998,2,7,2.0
2636,1900,2,8,2.0
2077,1946,1,4,1.0
2930,1993,2,9,3.0
737,1939,1,6,1.0
837,1994,1,5,1.0
2086,1951,1,7,1.0
2385,2005,2,7,3.0
189,1910,1,6,2.0
635,1958,2,6,1.0
432,2008,2,10,3.0
900,1959,2,10,0.0
966,2001,2,6,2.0
1612,1971,2,7,2.0
904,1941,1,6,1.0
2487,1963,2,10,2.0
1304,1957,1,5,1.0
2112,2005,2,7,2.0
1244,1958,1,5,1.0
843,1998,2,6,2.0
2689,1910,1,5,1.0
2753,2006,2,6,2.0
1169,2001,1,5,2.0
1376,1940,2,6,0.0
2503,1992,2,9,2.0
1987,1900,2,7,2.0
1190,1967,2,8,2.0
1930,1955,1,5,1.0
2677,1936,1,7,1.0
1256,1925,1,5,1.0
2484,1966,1,5,1.0
1253,1947,1,6,1.0
1337,1929,1,5,1.0
1788,2005,2,7,2.0
141,1959,1,6,1.0
1669,1971,1,5,4.0
1366,1920,1,6,0.0
52,2005,2,6,2.0
1380,1966,1,6,1.0
919,1926,1,9,1.0
2804,2004,1,3,2.0
782,1957,1,8,1.0
956,1958,1,7,2.0
187,1910,2,12,0.0
2074,1988,2,8,2.0
1039,1998,2,5,2.0
1210,1966,1,6,2.0
2710,1966,1,6,2.0
44,2004,2,7,2.0
1026,1980,2,7,2.0
1343,1929,1,6,1.0
2248,1979,2,5,2.0
1849,1999,2,5,2.0
2076,1953,2,6,2.0
2641,1925,1,6,2.0
5,1997,2,6,2.0
878,2003,1,4,2.0
1548,1930,1,5,1.0
841,1994,1,6,2.0
1621,2000,2,6,2.0
218,1968,2,8,0.0
1504,1955,2,6,0.0
946,1910,1,4,1.0
455,2007,2,6,2.0
2906,1998,2,5,2.0
2878,1957,2,6,1.0
1173,1999,2,4,2.0
985,1992,1,5,2.0
975,1968,1,5,1.0
202,1921,2,9,2.0
528,2008,2,8,2.0
2579,1957,1,6,1.0
1841,2006,1,4,2.0
591,1977,2,6,2.0
1897,1960,1,7,2.0
70,2008,2,7,2.0
590,1977,1,8,2.0
1172,1999,2,5,2.0
1714,2005,2,7,2.0
829,2008,2,5,3.0
1397,1941,1,6,3.0
877,2000,2,6,2.0
2477,2005,2,7,2.0
2871,1953,1,5,1.0
2489,1962,1,6,2.0
1655,1979,2,5,2.0
1891,1966,2,6,2.0
1419,1990,2,10,2.0
1473,2002,2,7,2.0
2868,1956,1,6,2.0
1695,2006,2,9,3.0
2244,1957,1,6,2.0
169,1966,1,7,2.0
2670,1918,1,5,0.0
247,1993,2,8,4.0
2137,1977,2,6,2.0
1794,2007,2,6,2.0
1498,1959,3,11,2.0
1164,2007,2,5,2.0
1179,1996,1,4,2.0
1340,1926,1,6,1.0
436,2004,2,7,3.0
1636,2005,2,8,3.0
421,2006,2,7,3.0
457,2004,2,8,3.0
2834,1948,1,5,1.0
517,2009,2,4,2.0
1566,1996,2,8,3.0
1439,1998,2,8,2.0
2577,1958,1,7,2.0
2241,1950,1,6,1.0
71,2004,2,8,2.0
1143,1994,2,6,2.0
1021,1978,2,7,2.0
1416,1950,1,5,1.0
35,1975,1,4,1.0
2904,1951,1,6,1.0
2174,1990,1,5,0.0
522,2009,2,7,3.0
2211,1949,2,8,3.0
1539,1939,1,8,2.0
2420,2006,2,6,2.0
2779,2002,2,8,2.0
953,1977,2,8,2.0
658,1900,1,6,1.0
714,1910,2,7,2.0
1637,2005,3,10,3.0
538,2004,2,6,3.0
546,2001,2,6,2.0
533,2003,2,6,2.0
718,1900,2,8,1.0
1830,1974,1,5,2.0
2929,1974,1,6,2.0
2207,1913,1,4,1.0
1417,1924,1,5,0.0
2787,1972,1,5,2.0
1037,1971,1,5,2.0
2659,1900,2,8,3.0
1567,1977,1,6,1.0
1225,1950,1,6,1.0
685,1959,1,6,1.0
1358,1925,1,7,1.0
1461,2001,2,7,3.0
221,1967,1,5,1.0
2187,1946,2,8,0.0
2504,1994,2,5,3.0
855,1979,1,5,2.0
2258,1959,1,5,1.0
2205,1926,1,6,1.0
1158,1990,2,9,2.0
1741,2007,2,6,2.0
2735,1948,3,8,1.0
1888,1961,1,6,2.0
2121,1994,1,5,1.0
1176,1999,2,7,2.0
2773,1995,1,5,2.0
2619,1957,1,6,1.0
1796,2007,2,8,2.0
1598,1973,1,4,1.0
1965,1958,1,6,1.0
2651,1905,1,7,1.0
609,1966,1,6,2.0
1990,1910,2,7,2.0
1053,2007,2,7,3.0
2877,1936,1,6,1.0
497,2000,2,10,3.0
514,2005,2,9,3.0
759,1927,1,4,1.0
2474,2005,1,6,2.0
1193,1968,1,7,2.0
1415,1910,1,5,0.0
2048,1942,1,4,1.0
2483,1994,2,6,2.0
2883,1916,1,6,0.0
1111,2007,2,7,3.0
2072,1971,2,5,2.0
1450,1975,2,5,2.0
274,1945,1,5,1.0
413,1974,2,6,2.0
751,1915,1,7,1.0
2897,1990,2,6,2.0
207,1930,2,7,0.0
2269,2003,2,6,2.0
891,1976,1,6,1.0
2863,1936,1,6,1.0
1298,1910,1,5,1.0
1292,1910,2,9,0.0
1687,2007,2,7,3.0
2749,1993,2,8,2.0
2875,1925,1,4,0.0
1029,1976,2,7,2.0
1581,1986,2,7,2.0
612,1959,1,6,1.0
139,1958,2,8,2.0
1335,1940,1,6,1.0
2531,1969,1,6,2.0
681,1958,1,6,1.0
1383,1978,1,6,2.0
1359,1910,1,7,1.0
1226,1950,1,7,1.0
63,1994,2,9,2.0
1869,1993,2,6,2.0
2468,2006,2,5,2.0
1135,2005,1,6,0.0
719,1917,1,5,1.0
405,1971,2,6,1.0
2506,2005,1,4,2.0
2380,2006,2,11,3.0
1565,2002,2,7,3.0
1727,2003,2,6,2.0
1661,1976,2,5,2.0
1967,1960,1,6,1.0
2267,1996,2,7,2.0
1389,1966,1,6,1.0
2553,1954,1,4,1.0
1459,1998,2,8,2.0
1739,2007,2,6,2.0
172,1920,1,5,0.0
788,1954,1,6,2.0
1979,1920,1,5,1.0
1801,2006,2,7,3.0
931,1950,1,6,1.0
2471,2005,1,5,0.0
2899,2000,2,5,2.0
2544,1959,2,8,2.0
1386,1969,0,6,2.0
315,1948,1,7,2.0
1932,1958,2,8,2.0
1660,1976,2,7,2.0
2353,1976,1,5,2.0
2139,1977,1,5,1.0
1585,1999,2,6,2.0
1602,1954,1,4,2.0
2888,2001,2,7,2.0
965,1987,2,7,2.0
645,1951,1,5,2.0
789,1956,1,7,2.0
1015,2007,2,6,2.0
1264,1960,1,5,1.0
1972,1962,1,5,1.0
1481,2005,2,7,2.0
954,1990,2,6,2.0
2499,1974,2,9,2.0
824,2007,2,7,2.0
2769,1996,1,5,2.0
123,1964,2,8,2.0
1862,1977,2,12,2.0
1308,1900,2,10,2.0
1758,2003,2,6,2.0
2236,1939,1,4,1.0
2912,1968,1,5,1.0
2093,1986,2,8,2.0
2128,1997,2,7,2.0
679,1949,2,6,2.0
1313,1920,2,10,2.0
2534,1968,1,7,2.0
1273,1960,1,6,1.0
219,1965,1,6,2.0
133,1955,1,7,1.0
38,2007,2,7,3.0
2408,2006,2,6,3.0
1575,2007,2,7,3.0
1671,1961,1,4,1.0
2000,1926,2,5,1.0
2621,1949,1,6,0.0
1996,1880,2,8,1.0
1976,1927,1,6,2.0
1861,1981,2,7,2.0
1600,1970,2,6,0.0
298,1994,2,6,2.0
875,1996,2,7,2.0
1205,1956,1,6,1.0
763,1987,3,5,0.0
512,2006,2,7,2.0
592,1998,2,7,2.0
1255,1948,1,3,1.0
355,1998,2,7,2.0
1676,1973,1,6,1.0
2599,1929,1,4,2.0
312,2003,2,7,2.0
1124,2005,2,7,2.0
1702,2007,2,7,3.0
2434,2004,2,7,2.0
1432,1994,1,5,2.0
689,1978,1,4,2.0
1349,1920,2,6,2.0
1759,2000,2,7,2.0
893,2005,1,5,2.0
944,1925,1,4,1.0
2109,2005,2,7,3.0
316,2008,2,6,3.0
2529,1972,1,8,2.0
1448,1978,1,5,2.0
871,1996,2,6,2.0
142,1959,1,6,2.0
1515,1914,1,5,0.0
1970,1964,2,7,2.0
572,2000,2,4,2.0
2200,1921,2,8,1.0
2147,2000,2,7,2.0
249,1992,1,5,2.0
162,1948,1,5,1.0
664,1920,1,6,1.0
1516,1912,2,9,0.0
16,2003,3,12,3.0
1808,2006,1,5,0.0
425,2006,2,6,2.0
1372,1947,1,6,1.0
2495,1965,1,5,1.0
661,1915,2,8,2.0
1301,1948,1,6,2.0
396,1970,1,6,2.0
2663,1916,1,7,1.0
50,2006,2,6,2.0
886,1964,1,7,2.0
696,1941,1,5,1.0
2454,1993,2,8,3.0
2106,2006,2,8,2.0
353,1995,2,6,2.0
441,2006,2,6,3.0
2270,2002,2,6,3.0
1924,1960,1,6,1.0
1402,1954,1,5,2.0
1070,2008,2,7,3.0
2696,1922,1,6,1.0
1840,2006,2,5,2.0
1562,2004,2,5,2.0
2426,2005,2,5,2.0
1162,2004,2,5,2.0
1874,1963,1,6,1.0
111,1967,2,8,2.0
1207,1956,1,4,1.0
140,2003,2,7,2.0
545,2005,2,7,2.0
1338,1937,2,5,1.0
2873,1942,1,5,1.0
924,1921,1,5,2.0
844,1999,2,6,2.0
901,1956,1,7,1.0
2195,1914,2,14,0.0
2081,1958,1,6,1.0
2774,2000,2,6,2.0
2573,1962,1,6,2.0
1793,2006,2,7,3.0
882,2004,2,6,2.0
2791,2002,2,6,2.0
297,1959,2,7,2.0
509,2008,2,7,3.0
1115,2008,2,6,2.0
773,1967,1,5,1.0
732,1930,2,7,1.0
1552,1930,1,5,1.0
226,1978,1,5,2.0
2830,2004,2,7,2.0
2238,1922,1,5,1.0
982,1993,1,5,1.0
1265,1960,1,5,1.0
559,1965,2,5,1.0
1203,1961,1,6,2.0
2083,1977,2,8,0.0
2130,1998,2,7,2.0
2455,2005,2,8,2.0
535,2006,1,6,2.0
2019,1929,1,5,2.0
2655,1945,1,5,1.0
2391,2005,2,8,2.0
154,1920,1,4,2.0
999,1996,2,6,2.0
1400,1977,2,8,2.0
2807,2004,2,8,2.0
516,2008,2,6,2.0
1753,2003,2,8,2.0
734,1936,1,6,1.0
1209,1964,2,7,2.0
1994,1900,2,10,2.0
1901,1940,1,4,2.0
2413,2006,2,8,2.0
2630,1961,1,6,1.0
1428,1993,2,9,3.0
1271,1959,1,6,1.0
2464,2006,2,8,3.0
2653,1924,1,7,2.0
1505,1955,1,4,0.0
2110,2006,2,7,2.0
2386,2004,2,8,3.0
1086,2004,2,8,2.0
1574,2006,2,8,3.0
406,1972,1,5,1.0
2757,2006,2,7,3.0
2559,1961,1,7,2.0
1469,2003,1,3,2.0
407,1972,1,5,1.0
2300,1982,1,4,2.0
731,1925,2,5,2.0
2230,1957,3,9,2.0
1688,2006,2,7,3.0
880,2007,2,7,3.0
1074,2005,2,6,2.0
771,1978,2,7,2.0
724,1890,1,7,2.0
730,1923,1,6,1.0
273,2004,2,6,2.0
2793,2002,1,5,2.0
1789,2007,2,7,2.0
1900,1950,1,4,1.0
677,1950,2,6,2.0
747,1925,1,5,5.0
1038,1972,1,5,2.0
1763,2000,2,8,3.0
1283,1963,1,6,1.0
2803,2003,1,4,2.0
1927,1956,1,6,1.0
1036,1969,1,4,1.0
1237,1962,1,6,2.0
1375,1959,2,7,2.0
1643,2006,2,8,3.0
2453,1994,2,8,3.0
2129,1999,2,7,2.0
2640,1900,1,7,2.0
2437,2000,2,7,2.0
1123,2007,2,6,2.0
2398,2005,2,6,3.0
1420,1995,2,9,2.0
2693,1919,1,4,0.0
1370,1915,2,8,0.0
392,1972,2,7,2.0
1351,1948,1,6,1.0
246,1987,1,4,2.0
802,1983,1,5,2.0
1404,1959,1,5,1.0
803,1990,2,7,3.0
1595,1976,1,4,1.0
1319,1872,2,8,0.0
2231,1986,2,6,2.0
2162,2006,2,8,2.0
2622,1950,1,5,2.0
1300,1948,1,5,1.0
2505,2004,1,5,2.0
582,1968,2,7,2.0
1458,1999,2,7,3.0
281,1958,1,5,0.0
1499,2008,2,12,2.0
2298,1970,1,5,2.0
2580,1956,1,6,1.0
568,2009,2,4,2.0
1807,2006,1,6,0.0
129,1949,2,6,2.0
2294,1977,2,6,2.0
1860,1976,2,6,2.0
839,1996,2,6,2.0
2349,1978,2,8,2.0
1903,1946,1,4,0.0
234,1978,2,8,2.0
2172,1925,1,7,2.0
2588,1956,1,6,1.0
1289,1920,2,8,2.0
1596,1976,2,6,1.0
264,2003,2,8,3.0
451,2006,2,6,3.0
536,2004,1,5,0.0
43,2005,2,8,3.0
2223,1953,2,7,2.0
2009,1923,1,6,2.0
394,1970,1,5,2.0
1738,2006,2,6,2.0
1196,1965,2,10,2.0
828,2007,2,6,2.0
1694,2005,2,7,3.0
571,1999,2,6,2.0
1192,1974,2,9,2.0
1806,2004,3,8,2.0
962,2007,2,7,3.0
2142,1975,1,5,2.0
1648,1978,2,7,2.0
618,1967,1,5,2.0
2108,2007,2,6,2.0
772,1967,1,6,1.0
2672,1939,1,6,1.0
2492,1968,1,5,1.0
2903,2005,2,9,3.0
2783,1977,1,6,1.0
786,1955,1,7,1.0
740,1924,1,5,2.0
2546,1964,1,6,1.0
851,2002,2,6,2.0
1833,1990,2,9,2.0
76,1980,2,5,1.0
2151,1998,2,9,2.0
1880,1964,2,8,3.0
2907,1998,2,5,2.0
1831,1975,2,6,2.0
2836,1924,1,9,1.0
1955,1968,1,5,1.0
1926,1957,1,5,1.0
2924,1977,2,5,2.0
1003,1992,2,5,2.0
1667,1970,1,5,1.0
2905,1997,2,8,4.0
921,1942,1,7,1.0
1780,2006,2,7,2.0
746,1938,2,6,1.0
