date,tweet
2020-05-10 19:40:18+00:00,"Power went out. No more zoom calls, no more running refrigerator, and no more Minecraft. How am I supposed to get my second elytra now?!???!?! I lost my first one when I fell into the chasms in the end dimension. Also happy mother's day LAWL"
2020-05-10 19:35:34+00:00,"Welp, the power went out in basically my entire area. This will be an interesting Mother's Day dinner. Hopefully this storm doesn't do too much damage and passes within an hour or so. I don't feel like having to try and make a meal without any power."
2020-05-10 19:28:40+00:00,The power really just went out in BG as I was doing my accounting homework 
2020-05-10 19:21:42+00:00,Welp. My power just totally shut off. Nice. #stream May be back when it is??? I had an amazing viewer giving me some great hope and support overall so apologies the stream went out
2020-05-10 19:20:02+00:00,Context: Right before our set started my rooms power went out so I had to play on handheld and on normal WiFi. Took the W on handheld and he snapped. I stated before the set my WiFi would be bad and he could take the W if he wanted but after 3 games he didn’t say anything so idk
2020-05-10 19:06:30+00:00,My power went out so I got bored and tried to play all of twin fantasy on guitar but got stuck on Nervous young inhumans so now I'm done with that
2020-05-10 18:54:28+00:00,This was the night/ weekend my power went out and I listened to it on the radio 
2020-05-10 18:39:01+00:00,We went on something called a “power walk.” Y’all never told me that’s basically the easiest way to sissy that walk or else I would have done this before. And did it bring my inner drag queen out: I lipsynched to all the ladies of the 80s. 
2020-05-10 18:34:34+00:00,"Power went out, awesome. And here I thought my day couldn't get any better."
2020-05-10 18:27:08+00:00,Went to drop off my mom’s #HappyMothersDay gift and drove by the old office. Can’t help but remember the Monday night when Sandy made landfill and the power when out. @OglesbyAPP @JosephCacchioli @HBSastrowardoyo
2020-05-10 18:22:16+00:00,also my power just went out as im in the bathroom yay me
2020-05-10 18:22:16+00:00,Viewer battles pt 2. my power went out lol 
2020-05-10 18:20:01+00:00,The power went out at my job.... I hope this means I can leave and buy a new phone
2020-05-10 18:16:24+00:00,"To those who were watching my stream, my power went out LMFAOO"
2020-05-10 17:34:23+00:00,"In the last 7 days, I’ve had almost constant power. The power only went out twice and it didn’t last up to 30 minutes. Considering that today is Sunday, this is my Sunday testimony "
2020-05-10 16:40:41+00:00,I think I spoke too soon. Power went off about 45mins after my last tweet and still not back on... @aedcelectricity pls do the needful I’m out of petrol for my gen gbazango/gbazango ext Kubwa
2020-05-10 16:36:43+00:00,Power went out while I was starting my dinner. Umbuttun and shourba..seems like it will be shourba tonight. Weak internet so I wont be able to contact husband or message my daughters in USA. Just another day..rumbles continue. Seem bit closer too.
2020-05-10 16:20:46+00:00,Not sure I'll be back. Definitely not until Trump is out of power. I'll have to see what happens after that. I've got a lot of family down there including my brother but I went down in 2018 and it felt divided and on edge - not safe.
2020-05-10 16:06:44+00:00,Also my power went out for 8 hours last night and I have to throw away my coffee creamer so it was a tragic morning
2020-05-10 16:00:30+00:00,I'm happy to have finished this before my outlets fried and power went out. I think I spent longer on this piece than other paintings since it's hitting close to home. Been awhile since I made a personal painting for myself.
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-05-10 15:09:12+00:00,"Our power is out so I thought it’d be fun to sit at the table and play some games as a family. Exactly 15 mins later I’m smoking a joint, my husband went out &amp; My kids have disappeared Doing that more often !"
2020-05-10 15:04:14+00:00,"Digital storm is okay, I have one but they cheap out on the Graphics card and RAM. My brother bought one for $1000 with a rtx 1650 and 8 go of ram. I bought one for 1500 with a rtx 1650 and 16 go ram, wish I would of went with power GPU "
2020-05-10 14:25:30+00:00,The power went off for just long enough to leave all the appliances blinking and the wifi resetting. My first thought was that all three bulbs above the kitchen table had gone out at once.
2020-05-10 14:23:47+00:00,Goodnight moots! I updated my au buuut smh our power went out sksk I’ll update more tomorrow uwu ily all &lt;3
2020-05-10 13:41:37+00:00,"I remember this one time, I was getting a haircut and a storm came through and the power went out in the middle of my haircut. I had to come back a few hours later when power was back to get it fixed (finished). Looks like the same thing w/ Cruz except he never came back "
2020-05-10 13:00:15+00:00,my power went out but we back now 
2020-05-10 12:56:34+00:00,alright so the storm is getting crazier and the power went out and my phone's at 16% so if something drops at 12am KST &amp; u don't see me screaming on the tl you know what happened 
2020-05-10 12:45:41+00:00,An apocalyptic storm? It'll feel right at home in 2020. Also my house is going to fly off and my mom thinks the ENTIRE power grid went out because i plugged my into charging so there's that. :)
2020-05-10 12:42:38+00:00,"not only has AE crashed THREE times during render, but the POWER JUST WENT OUT AND CAME BACK IM GOING TO LOSE MY MARBLES "
2020-05-10 12:23:54+00:00,"Well the weather is nice but the power just went out completely, hopfully it gets on soon because I literally have $1200 of foods in the fridge rn for my quarantine."
2020-05-10 11:47:11+00:00,"I’ve wanted this Magiking from Magiranger for a long time since Power Rangers Mystic Force is my favorite season of all time. Well, @cstoys had one up for sale but it was sold out as soon as it went up for sale....BECAUSE I BOUGHT IT! I’m excited to finally have this on my shelf. "
2020-05-10 11:29:42+00:00,I don't roll dates but today I did because I am up so early and I just wanted Nook's to be open so I rolled 1 hour forward. Immediately the power went out and my switch started acting oddly... Clearly I made the wrong choice #Acnh #AnimalCrossingNewHorizions @AustinJohnPlays
2020-05-10 11:16:40+00:00,My fucking power went out?? It’s a nice sunny day??
2020-05-10 11:07:52+00:00,Wtf my power just went out? 
2020-05-10 11:04:56+00:00,"The first time after watching this scene, the power in my town went out for like three hours."
2020-05-10 11:03:00+00:00,"Went out of my way to change the charging port of this power bank yesterday. Guess who's looking like Bobo The Fool right now? Yes, me. Power bank not charging. Waste of time and money"
2020-05-10 11:00:07+00:00,The reason I say this is that my brother's power went out for 2-3 days and they lost a lot of the food they had for the pandemic.
2020-05-10 10:38:37+00:00,Bruh wtf my power steering went out rn
2020-05-10 10:37:55+00:00,"Right when I press the power button of my laptop so I can draw, power went out. Battery not charged much so I had to shut it down again. "
2020-05-10 10:15:11+00:00,the power went out in my neighborhood. so ghetto
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-05-10 10:04:08+00:00,Okay fucking it’s so hot in my house and the power went out pls I need my fan
2020-05-10 09:48:47+00:00,Power went out and my phone is at 5% GREAT. I should be gaming rn
2020-05-10 09:28:02+00:00,Dude I am the same!!! I called in sick on Friday because I have a herniated disc so I couldn't sit down for ages at the PC but I still have my work slack open &amp; my work mates power went out (tree fell on the lines) so I ended up working half the day anyways because I felt bad lol
2020-05-10 09:23:27+00:00,Sorry I have not gotten around to posting my Halo 3 ODST review yet. I have not even had the chance to watch the final product and make sure it turned out ok. Busy day. Went to Micro Center with my dad. Got a power supply and helped him build a new PC for himself
2020-05-10 08:48:42+00:00,THE POWER WENT OUT MY PARENTS GONNA WAKE UP ITS 5:50 AM THEYRE GOING TO K1LL ME BYE
2020-05-10 07:47:34+00:00,The power just went out in my area and my final is already 42 minutes late—I’m taking this as a sign that I wasn’t meant to submit this.
2020-05-10 07:28:59+00:00,the power went out and my phones at 2% goodnight asf 
2020-05-10 07:25:17+00:00,I’m jokin My power went out and i’m going depresso mode
2020-05-10 07:19:22+00:00,i really appreciate the fact that my power went out thanks california
2020-05-10 07:07:45+00:00,power went out on my street. love that. thanks guys
2020-05-10 07:06:06+00:00,"I agree. It certainly works both ways. I had a motorbike in my late teens and early 20’s and nearly killed myself a couple of times. The police driver I went out with thought that the driving test for cars should be like the motorbike test. Two stage, power based."
2020-05-10 07:04:39+00:00,power went out during the climax of breaking dawn pt2. this feels a lot like when my vibrator dies the second im ab to finish
2020-05-10 07:02:53+00:00,my phones dying and the power went out what the FUCK i jjst wanted to * in peace
2020-05-10 07:00:34+00:00,The power went out in my neighborhood and my phone is going to die lmao fuck me
2020-05-10 06:59:22+00:00,My power just went out lmao *fnaf song starts playing*
2020-05-10 06:41:21+00:00,Soooo it's almost 3 am and the power went out and won't be back on for probably two hours according to the power company.... I cannot sleep without a fan!!!! This is torture and my phone is only at 37%!!!
2020-05-10 06:33:06+00:00,oof my power went out just now... luckily the event happened before
2020-05-10 06:31:22+00:00,"Power went out, probably a blessing since today has kicked my ass emotionally. See y’all tomorrow, hopefully with less stress and lack of wanting to live. (:"
2020-05-10 06:28:09+00:00,so it started raining and the power went out AND MY FAMILY JUST LEFT ME HOME ALONE 2 MINS AGO
2020-05-10 06:26:22+00:00,"How do people sleep without fans?? Our power went out and it startled me awake. I am currently listening to every sound my house has to offer and it is terrible. Husband snoring, kid snoring, cat playing with a toy, rabbit hoping around his room, dogs walking around."
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-05-10 06:05:53+00:00,My power went out
2020-05-10 05:57:19+00:00,"so my power went out after tweeting the emoji thing as a result to conserve my phone battery, i decided to read the book i put off. I think its because of the nature of the book and the fact that I saw the movie first that I didn't feel it added much more to the story."
2020-05-10 05:44:22+00:00,"My power went out, but luckily my hoard of @bathbodyworks candles came through to keep some light in my room. Plus, it smells like a coffee shop in the middle of Fall so I'm pretty happy "
2020-05-10 05:35:46+00:00,Big apologies to everyone watching my stream on twitch tonight my power went out and I lost All progress in the game I will be on Tom and we will get at some speedruns stuff sry a Gain was. Great night though playing MegMN11 with @KazeVelara I love you all 
2020-05-10 05:24:47+00:00,my fuckin power went out 
2020-05-10 05:20:54+00:00,Ok I went 7/11 on the whole card. My thoughts : Justin Gaethje has really improved since he lost 2 in a row to Poirer and Alvarez and he just beat the living shit out of Ferguson. He is the greatest threat to Khabib with his power and great takedown defense. 
2020-05-10 05:19:30+00:00,"Me yesterday , my power went out and I fell asleep"
2020-05-10 05:02:28+00:00,My power went out and I want to cry
2020-05-10 04:44:03+00:00,"The power suddenly went out in the neighborhood for a few minutes. Then the door rattled from - well, actually, I don’t know why. If I was a former spy, I would already be up with my go-bag in one hand, and my hidden extra piece in the other. Instead, I am telling Twitter. "
2020-05-10 04:28:53+00:00,My power just went out...
2020-05-10 04:15:49+00:00,"Texted John that the power went out and he told me to read a book. With what, my night vision goggles???"
2020-05-10 04:14:28+00:00,Ummmmm all the power just went out at my house. Ummm. And then came back on. 
2020-05-10 03:50:24+00:00,Power in my entire neighborhood went out. 2020 is really trash.
2020-05-10 03:45:20+00:00,I missed it! My power went out during 2nd round! Ugh
2020-05-10 03:22:45+00:00,Everyone’s power but mine is on and our power went out first. I hate my life. 
2020-05-10 03:20:10+00:00,My power went out but i'm back :) 
2020-05-10 03:18:07+00:00,Yo my friggin power went out before Francis and Bigi Boi WTF @PECOconnect @ufc
2020-05-10 02:48:47+00:00,My power went out and I didn’t saved in Persona 5... This fucking sucks
2020-05-10 02:35:07+00:00,"The power went out last night, and I think it will be a while before I reset my clocks because time isn't real any more anyway."
2020-05-10 02:31:09+00:00,My power went out! I’ll be back on in 20 minutes! 
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-05-10 01:56:25+00:00,1 year ago today my power went out while I was waiting for season 9 to release and I didn’t have wifi which sucked so then I had to sleep like a normal person
2020-05-10 01:46:55+00:00,"Sorry for the random drop of stream, but the power to my entire block just went out. Once power cones back on I'll be back up but I don't know when that will be."
2020-05-10 01:46:53+00:00,Power just went out on my block 
2020-05-10 01:46:36+00:00,my power went out how sexc 
2020-05-10 01:24:43+00:00,brO i was juss producing some fyy for anve and the power went out in my room
2020-05-10 01:20:29+00:00,my power went out for a second and its windy and snowing so im nervous its gonna go out for longer... my frog needs the heat from the lamp and my room...
2020-05-10 01:18:27+00:00,My power just went out so that's great I'll try and get the stream going again once the power is back on
2020-05-10 01:13:25+00:00,I ALWAYS WANT TO DO TALK TO TEXT INSTEAD OF TYPEEEE. MY FINGERS HURT AFTER DOING NOTIFS AND DMS my dream was about me working at some factory job and the power went out and after that i don’t remember much but i think it was scary.. max my memory be so bad. MZMMZZMMZMZM
2020-05-10 00:39:32+00:00,I was watching Twilight when the power went out I think god is telling me to adjust my tastes
2020-05-10 00:19:52+00:00,My power went out today I'm charging my phone in my car right now
2020-05-10 00:11:48+00:00,Power bar went out and it fucked my whole ps4 
2020-05-10 00:05:37+00:00,Nice! Nuke EM for 5. Submarine NR-1 and the Virginia. Got out in 2007 and went into wind power. I did a short stint with Lockheed in 2013 after finishing degree. Just loved my wind turbines too much (and being outside instead of in a cubicle farm) to stay.
2020-05-09 23:46:25+00:00,My mans forced me to watch star wars ok but the fucking power went out half way thru the movie and I lowkey was into it cuz I’ve never seen any of the movies and now I just wanna watch them all so if anyone can let me know the chronological order for Star Wars pls do!
2020-05-09 23:26:16+00:00,My whole naborhoods power went out while I was recording it’s back on now join me on serenity gt zSlakoth
2020-05-09 23:21:55+00:00,It’s started happening this morning around 2am because our power went out for about an hour! I have the geeni app but I always use the google home app. Yes it still works on my geeni app and when I try to connect them back it says they’re linked and then won’t do anything
2020-05-09 22:59:26+00:00,"got it, it had a 318 in it. We wanted to get more power out of it, so we went with a 360. The Nissan is my mud toy. I had to replace the transmission in it and replace the whole front suspension. "
2020-05-09 22:56:03+00:00,so my power went out and i was living my outer banks life for 30 minutes and i come back to this CAN I PLEASE GO BACK TO NO POWER
2020-05-09 22:44:03+00:00,"what a great Saturday night, power went out and idk what to do bc it's only in my flat and i wanna cry "
2020-05-09 22:22:59+00:00,My power just went out ugh
2020-05-09 22:12:47+00:00,We are ok! Our apartment stays pretty cool in my opinion. I was just thinking of making food then the power went out so going grocery shopping.
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-05-09 22:09:55+00:00,"Alright so I guess the power went out at my entire school, which I guess takes all its systems and technology with it. absolutely lovely that my school has no offline support whatsoever."
2020-05-09 22:03:53+00:00,"My son wanted an air fryer for his birthday. So I ordered one from the website, then went to the store for same-day pickup. I didn't even have to get out of my vehicle. And now my power-lifting, adult-age son can make healthy sweet potato fries to go with his plain chicken. "
2020-05-09 22:00:37+00:00,"Ugh. Going to have to watch Michael’s Worship Around the World video a little later, after it goes live. My power went out and cellular data is SO slow. "
2020-05-09 22:00:12+00:00,I chose not to save my game. the power went out 15 seconds later.
2020-05-09 21:51:49+00:00,"my power went out last night. I thought ""this is it. Putin has hacked the power grid."" (but it came back on at 3 am)"
2020-05-09 21:48:28+00:00,"While streaming a cutscene in Horizon Zero Dawn, the power in my house went out. Might need to wait till tomorrow to stream again after the outage clears up. Sorry for those that wondered for the sudden stream finish, promise to make it up for everyone. Your support was awesome!"
2020-05-09 21:48:20+00:00,"Power just went out, and it’s not even that windy. @RiffPonies I’m going to try to make it to Riffing Rainbow, but my data connection is lagging."
2020-05-09 21:22:28+00:00,"The sun was shining, the snow was falling, and the birds were chirping on this May afternoon. Then my power went out. Waiting for Rod Serling to pop out anytime now."
2020-05-09 21:08:05+00:00,My dads mad at me bc the power went out ???
2020-05-09 21:00:53+00:00,"(Bar speaking in a interview)This is a long answer, but it’s sort of interesting, at least the way things worked out. I went into private practice after my clerkship, and when [Ronald] Reagan came to power, I was on the transition, but I was involved in litigation, so I didn’t go"
2020-05-09 20:54:41+00:00,My power went out 
2020-05-09 20:54:16+00:00,omg the power just went out in my building or else i'd join in on this 
2020-05-09 20:52:09+00:00,"Lol now my daughter says “my god she is so stupid” after Liz leaves her studio after the power went out and starts yelling in the stairwell. I swear, I am not making this up #GH"
2020-05-09 20:49:08+00:00,Fml power went out when playing csgo mm and my last cooldown was 1d. Am i about to get hit with a 7d cooldown?
2020-05-09 20:41:20+00:00,my power went out 
2020-05-09 20:35:18+00:00,"My power went out, and I didn't even notice, and then it came back on, and my printer made all kind of noises, followed by Google Home Mini turning back on. Scared the shit out of me."
2020-05-09 20:28:25+00:00,My power really went out again fuckkk
2020-05-09 20:12:46+00:00,Well it's been a wierd day I woke up to snow flurries. Then the stored and it got windy and the power went out. Then the power came on and sun came out. So I did my hair and went grocery shopping. While wiping down… https://www.instagram.com/p/B_-ubpjgnjw/?igshid=vg659beqcuac
2020-05-09 19:50:39+00:00,My power went out for about an hour - I took a nice refreshing walk. Also! My noisy neighbor has a cat!! I saw it through the window! And it's amazing!
2020-05-09 19:40:29+00:00,"Oh bet, i just downgraded cause my power went out"
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-05-09 19:38:23+00:00,I get that my power went out so I couldn't
2020-05-09 19:23:19+00:00,I'll never forget the time I was watching the lightening with my mother when I was like 10 and the apartment across the road got struck and the power went out for a minute it was the coolest experience of my life
2020-05-09 19:15:37+00:00,My building's power just went out.. day 53 of quarantine and am now in despair. I did all my non-electronic stuff this morning so I could binge watch @SchittsCreek and @deadtome until the wee hours of the night. I can't even go places right now? Do I just drive around aimlessly?
2020-05-09 19:07:34+00:00,Sorry for not post artwork But now I have biggest problem that will make I'm stop drawing for entire month Last 2 days there severe thunderstorm and I charging my phone then the power suddenly went out . After that my phone doing weird issue Froze - Weird touch - black out 
2020-05-09 19:06:03+00:00,Power really just went out at my crib smh
2020-05-09 18:51:14+00:00,Thanks for hanging out in stream today. Sucks it was cut short as my power just went out. Might be back later if it comes back on.
2020-05-09 18:44:45+00:00,So at some point soon I will be re-doing my all face statues run that died in August cause my power went out. Not sure when but yeah
2020-05-09 18:16:57+00:00,So my kid blew up his power thing from his computer... so now my hubby and the kids went to see if they can find a new one. Online they are sold out (the one my kid wants).
2020-05-09 18:15:29+00:00,"SOOOOO My power went out 2 hrs into my octofecta, so decided to do a trifecta run last second. After almost choking it at the end, got the 2:36 finally :) "
2020-05-09 17:50:55+00:00,In December the power went out in my school during my Biology exam Me and my friends spent like 30 hours wandering around the dark school just vibing Shouldn’t have been a fun experience but it ended up being super fun
2020-05-09 17:25:44+00:00,thinking about how my power went out right when sana got on vlive chat last night.. https://twitter.com/CANDYCUMMIES/status/1256031854374895617/video/1
2020-05-09 17:21:59+00:00,Our power went out and I forgot to charge my phone 
2020-05-09 17:15:17+00:00,The power in my entire neighborhood went out last night and I was instantly reminded that there's an entirely other level of #EssentialWorker
2020-05-09 16:56:45+00:00,The power went out at my parents house last night and my mother had us looking like we were on the underground railroad with candles....Happy Mother’s Day lol 
2020-05-09 16:46:58+00:00,Really think my 1070 took a shit when my power went out. FeelsBadMan
2020-05-09 16:35:41+00:00,oof my power went out just now... luckily the event happened before
2020-05-09 16:07:52+00:00,Well... I would say unlimited power like the emperor... but my power went out during stream... thank you to everyone who popped by and hopefully this power issue gets fixed soon.
2020-05-09 15:32:20+00:00,9:30 hours power outage Phone battery dead Went out and had a burger while staring at the moon. No communication. Everyone distancing themselves. And honestly I’ve never felt so peaceful in my life.
2020-05-09 15:06:47+00:00,I slept until 10:46 bcs the power went out and my alarm never went off. I haven’t slept this late in a LONG TIME
2020-05-09 15:02:33+00:00,My hopes were up then went down again... Sigh League of Legends has this power to bring out the ugliness inside of you
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-05-09 14:44:00+00:00,"Sorry my power went out and I live in the field almost, I don't have a very good signal but I will do my best "
2020-05-09 14:22:33+00:00,yay this is the third time the power went out this week. I’m freezing and my phone is going to die. Help.
2020-05-09 14:00:53+00:00,The power is out. The Wi-Fi is out. My 10 year-old son went with 3-2-1. Then I heard 3 explosions and saw orange fireballs across the street.
2020-05-09 13:51:12+00:00,My power went out last night lol
2020-05-09 13:41:21+00:00,"5:30am. So I dreamt I was awake (listlessly), but I was actually sleeping. I went back to sleep for real, and woke up with my actual alarm. But y’all. I thought the power went out or I had turned back time or something FREAKY. "
2020-05-09 13:11:51+00:00,I WAS TALKING ABOUT HOW MATTRESS FIRM IS USED FOR MONEY LAUNDERING AND MY PC TURNED OFF AND MY POWER WENT OUT THE FBI IS NOW KNOCKING AT MY DOOR GUYS I GTG
2020-05-09 12:02:42+00:00,". My great grandmother, born in Germany 1898, was 16 when WW1 broke out in 1914, 20 during Spanish Flu in 1918, and survived WWII, was 37 when Hitler came to power. That side of my family then fled Germany. Saw and went through a lot!! Most kids today seen nothing! ."
2020-05-09 11:54:18+00:00,"A few nights ago our power went off at 2 in the morning and I checked pretty much everything in the house but nothing was working, until I remembered that my lightbulb had blown twice in two days and then I took it out and life was good. But now my room is dark "
2020-05-09 11:21:29+00:00,I be out here pullin up my art book and sketch pad to study then suddenly the power went off I’m
2020-05-09 11:17:29+00:00,my power went out 
2020-05-09 10:53:56+00:00,My fucking power went out
2020-05-09 10:52:36+00:00,my power just went out. no reported outages in my area but my breaker seems fine. but my landlord is a weirdo who did this house's electrical himself and he could have easily fucked something up. that's the worst case scenario I guess.
2020-05-09 09:38:40+00:00,"So when my power surged mid stream, it happened for the rest of town and my work Things went down and most of it was back up by the time I started. Realized the ovens in need for cooking were down and I couldn’t turn them on. Turns out just pushing buttons works just as well!"
2020-05-09 09:25:57+00:00,My power just went out and it's freaking 2:25 in the morning and I was doing homework.I'm kinda happy but at the same time really angry...
2020-05-09 09:23:25+00:00,My power went out yesterday lmao
2020-05-09 09:13:38+00:00,My power went out x.x
2020-05-09 09:01:40+00:00,"She had more opportunities than most sa survivors. (my wife is one). In 2019 Biden had no power over her, others had come out, me too was relavant, not many would've defended him either. She went into detail then an even in conversation with ms Flores didn't say anything."
2020-05-09 08:58:22+00:00,"Woken Scott because the WiFi is down, he’s grumpily moved a wardrobe to reach the socket, much cursing and name calling when a door hit my foot, and then searching for tools to open the plug. I went to make a coffee from the trauma of it all. Turns out the power has run out."
2020-05-09 08:28:35+00:00,Power just went out. Can’t wait for my PS4 to yell at me about my extended storage being corrupted
2020-05-09 08:16:19+00:00,So my power went out in my sleep an it’s HOT AF
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-05-09 07:51:01+00:00,"tonight's subnautica adventure: i went down to the lost river caves, fully stocked with food, water, and base building materials... except i forgot power. my submarine ran out of power. in a looong cave 800 meters down."
2020-05-09 07:28:23+00:00,Damn my power went out and I didn’t save in Skyrim 
2020-05-09 07:28:16+00:00,"jr high; a girl got stabbed with scissors in the locker room, boys made ig exposing a bunch of nudes, a kid had a hit list & threatened to sh**t up the school but he only got sd for 31 days. my high school; went on fire more than 4 times, it flooded, the power always goes out"
2020-05-09 07:13:22+00:00,wait my power just went out on my block too... LMFAO
2020-05-09 07:00:32+00:00,Power went out for an hour so I tried to heat up my pizza with a flow
2020-05-09 06:31:33+00:00,no my mouse went out of power
2020-05-09 06:17:24+00:00,My power just went out for .072 of a second and it was very scary
