Id,Lot Frontage,BsmtFin SF 1,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Area,SalePrice,Exterior 1st_VinylSd,Lot Config_CulDSac
997,69.05520046484602,138.0,916.0,916,1636,386.0,173000,0,0
64,92.0,524.0,1152.0,1164,2270,671.0,290000,1,1
1799,75.0,64.0,1184.0,1184,2610,550.0,303477,0,0
230,69.05520046484602,1092.0,1420.0,1483,1483,690.0,270000,0,0
1295,81.0,360.0,936.0,960,1740,225.0,122250,0,0
638,70.0,172.0,1382.0,1382,1382,350.0,153000,0,0
2278,70.0,206.0,1120.0,1120,1120,0.0,147000,1,0
2202,63.0,246.0,531.0,567,1098,216.0,148500,0,0
2833,32.0,0.0,976.0,976,1708,380.0,130000,1,0
1707,94.0,0.0,1802.0,1802,1802,843.0,372000,0,0
2428,43.0,16.0,1362.0,1506,1506,440.0,213490,1,0
242,44.0,1346.0,1508.0,1508,1508,572.0,308030,1,0
1564,69.05520046484602,700.0,1840.0,2032,2032,786.0,300000,0,0
2613,79.0,655.0,655.0,1194,1194,539.0,159500,0,0
2832,24.0,0.0,970.0,970,1709,380.0,137500,1,0
2459,73.0,0.0,1616.0,1616,1616,834.0,232000,1,0
1360,69.05520046484602,0.0,768.0,768,768,440.0,93850,0,0
2723,69.05520046484602,0.0,872.0,872,872,322.0,105000,0,0
1350,60.0,0.0,520.0,520,520,240.0,68500,0,0
136,80.0,443.0,1105.0,1105,2274,480.0,154300,0,0
2235,50.0,0.0,936.0,936,1601,0.0,129850,1,0
1993,35.0,168.0,616.0,616,1232,480.0,114000,0,0
367,63.0,1904.0,2216.0,2234,2234,1166.0,501837,1,1
1309,100.0,0.0,876.0,876,1416,720.0,153900,0,0
402,60.0,240.0,864.0,864,864,576.0,130000,1,0
1592,32.0,864.0,1189.0,1189,1189,392.0,160500,1,0
2409,48.0,415.0,1666.0,1666,1666,575.0,310090,0,0
539,67.0,833.0,1176.0,1200,1200,555.0,184900,1,0
1940,70.0,377.0,928.0,928,928,252.0,132000,0,0
588,80.0,553.0,1288.0,1336,1336,502.0,163000,0,0
96,30.0,280.0,600.0,600,1200,480.0,155000,0,0
1187,69.05520046484602,828.0,1427.0,1427,1427,516.0,183000,0,0
2154,69.05520046484602,762.0,860.0,1212,1992,608.0,211000,1,0
550,70.0,36.0,754.0,754,1540,495.0,184000,1,0
811,64.0,0.0,0.0,1535,1535,400.0,118858,0,0
124,69.05520046484602,1014.0,1152.0,1152,1152,484.0,180500,0,0
1836,80.0,60.0,1141.0,1151,1151,484.0,166000,1,0
779,88.0,588.0,1138.0,1138,1138,480.0,148000,0,0
1886,74.0,438.0,894.0,1074,1074,396.0,124000,0,0
1724,60.0,1153.0,1561.0,1561,1561,556.0,277500,0,0
2450,83.0,527.0,1342.0,1358,2726,725.0,350000,1,0
1013,53.0,1337.0,1884.0,1884,1884,670.0,387000,1,1
2084,58.0,348.0,528.0,605,605,0.0,86000,0,0
1184,103.0,1044.0,1426.0,1671,1671,550.0,290000,1,0
728,72.0,0.0,245.0,797,797,0.0,44000,0,0
950,71.0,690.0,804.0,804,1961,560.0,215000,1,1
2524,79.0,962.0,1153.0,1193,1193,501.0,146500,0,0
2513,69.05520046484602,641.0,673.0,673,1382,490.0,165000,0,0
2028,60.0,168.0,714.0,1664,2526,216.0,136000,0,0
2309,69.05520046484602,1110.0,1705.0,1390,1390,550.0,252000,0,1
51,36.0,0.0,764.0,764,1626,474.0,175500,1,0
699,57.0,421.0,690.0,868,1558,400.0,150000,0,0
1881,69.05520046484602,0.0,978.0,1422,1422,286.0,139900,0,0
1345,52.0,0.0,1078.0,1128,1573,360.0,162900,0,0
166,87.0,0.0,1116.0,1116,1116,440.0,160000,0,0
781,69.05520046484602,0.0,0.0,660,660,0.0,63900,0,0
379,80.0,832.0,1140.0,1707,1707,479.0,184000,0,0
2818,134.0,176.0,1466.0,1466,1466,528.0,149900,0,0
1168,69.05520046484602,1027.0,1614.0,1638,1638,495.0,300000,0,0
1396,69.05520046484602,988.0,988.0,1721,1721,626.0,145000,0,0
838,65.0,821.0,928.0,928,1764,470.0,231500,1,0
1492,63.0,290.0,996.0,996,996,0.0,108000,0,0
637,70.0,435.0,1202.0,1202,1202,304.0,120000,0,0
1826,69.05520046484602,827.0,988.0,988,988,572.0,128500,0,0
173,56.0,0.0,1008.0,1028,1028,360.0,115000,0,0
715,50.0,312.0,720.0,720,1284,240.0,110000,0,0
1183,69.05520046484602,410.0,994.0,1599,2944,864.0,150000,0,1
2433,74.0,0.0,707.0,707,1414,403.0,178000,1,0
2866,70.0,0.0,637.0,959,1609,579.0,199500,0,0
2311,60.0,700.0,813.0,813,1525,400.0,183500,1,0
1551,75.0,257.0,624.0,1092,1656,288.0,126000,0,0
1049,24.0,378.0,1055.0,1055,1055,440.0,148500,0,0
657,60.0,0.0,676.0,676,1352,720.0,149000,1,0
414,24.0,389.0,855.0,855,1456,440.0,137900,0,0
1181,32.0,1619.0,1719.0,1719,1719,473.0,324000,0,1
1514,67.0,468.0,864.0,864,864,0.0,98000,0,0
1040,21.0,458.0,483.0,483,987,264.0,103400,0,0
216,54.0,0.0,780.0,780,1020,0.0,94000,1,0
1720,34.0,24.0,1554.0,1554,1554,627.0,209500,1,0
2331,60.0,0.0,1528.0,1528,3390,758.0,545224,0,1
204,60.0,0.0,780.0,780,1560,0.0,159900,0,0
19,140.0,120.0,864.0,864,864,400.0,141000,1,0
2438,69.05520046484602,732.0,982.0,1008,1889,431.0,215000,1,0
89,69.05520046484602,659.0,1040.0,1040,1040,260.0,127000,0,0
240,75.0,954.0,1172.0,1172,1172,366.0,128000,0,0
105,57.0,1032.0,1642.0,1418,1418,852.0,267916,0,0
2020,52.0,425.0,884.0,959,1367,560.0,127500,0,0
888,64.0,0.0,0.0,495,1922,672.0,198500,0,0
1019,78.0,588.0,1422.0,1422,1422,576.0,175500,0,0
2132,69.05520046484602,841.0,985.0,985,1842,486.0,217500,1,0
203,57.0,0.0,888.0,888,1962,572.0,149500,0,0
420,69.05520046484602,644.0,864.0,1120,1120,656.0,148800,0,0
2333,85.0,240.0,1992.0,1992,2868,716.0,556581,0,0
632,70.0,189.0,1478.0,1478,1478,442.0,156500,0,0
2800,90.0,685.0,930.0,950,1995,610.0,237000,1,0
1885,70.0,111.0,912.0,912,912,297.0,120000,0,0
1734,88.0,918.0,1326.0,1326,1326,388.0,203000,1,0
2327,30.0,0.0,1191.0,1204,1204,461.0,130000,0,0
1282,80.0,674.0,780.0,798,1611,442.0,167900,0,0
2688,60.0,789.0,960.0,960,960,576.0,129000,0,0
2581,72.0,360.0,1070.0,1236,1236,447.0,134450,0,0
2067,69.05520046484602,0.0,816.0,1416,1416,576.0,112000,0,0
2115,69.05520046484602,608.0,929.0,946,1873,619.0,207000,0,0
754,50.0,0.0,1040.0,1088,2128,0.0,62500,0,0
1079,36.0,573.0,764.0,764,1626,474.0,154000,1,0
2615,73.0,708.0,816.0,816,816,308.0,129900,0,0
329,36.0,129.0,536.0,536,1112,336.0,85000,0,0
1320,69.05520046484602,0.0,572.0,572,1111,288.0,116900,0,0
416,24.0,311.0,855.0,855,1441,440.0,148500,0,0
284,60.0,348.0,672.0,672,924,280.0,80000,0,0
1385,69.05520046484602,104.0,1060.0,1126,1126,506.0,152000,1,1
275,68.0,0.0,381.0,992,992,319.0,155891,1,0
2024,60.0,0.0,768.0,752,1376,576.0,165000,0,0
68,92.0,0.0,1218.0,1218,1218,676.0,204500,1,0
1910,79.0,386.0,728.0,888,1644,312.0,146500,0,0
381,82.0,704.0,1271.0,1601,1601,478.0,157000,0,0
1323,60.0,0.0,1313.0,1313,2495,342.0,184000,0,0
2432,69.05520046484602,457.0,783.0,807,1509,393.0,183200,1,0
777,69.05520046484602,170.0,1092.0,1092,1092,288.0,139000,0,0
1107,96.0,1173.0,1311.0,1325,2418,983.0,341000,0,0
30,21.0,156.0,483.0,483,987,264.0,96000,0,0
282,80.0,0.0,1121.0,1121,1121,440.0,140000,1,0
188,90.0,600.0,912.0,1236,1236,923.0,149700,0,0
2356,78.0,788.0,1056.0,1074,1074,495.0,153500,0,0
1554,80.0,0.0,0.0,733,733,487.0,13100,0,0
1464,65.0,550.0,884.0,884,1768,543.0,224900,1,0
2469,62.0,0.0,1257.0,1266,1266,453.0,176000,1,0
1834,85.0,700.0,1683.0,2129,2872,541.0,285000,0,0
1779,49.0,929.0,1485.0,1464,1464,754.0,282922,1,1
2569,88.0,445.0,924.0,1216,2157,487.0,226000,0,0
2334,82.0,0.0,1234.0,1264,2576,666.0,361919,1,0
2330,59.0,1218.0,1398.0,1414,2798,670.0,457347,1,1
2119,155.0,51.0,966.0,1743,1743,529.0,279000,0,0
988,69.05520046484602,1567.0,1567.0,1567,1567,714.0,196000,0,0
382,80.0,0.0,1090.0,1370,1370,479.0,152000,0,0
670,91.0,500.0,1248.0,1338,2634,968.0,200000,0,0
2760,78.0,1122.0,1570.0,1590,1590,754.0,294900,1,0
543,61.0,0.0,1450.0,1450,1450,788.0,224243,1,0
2835,72.0,0.0,832.0,846,1338,528.0,92000,0,0
1735,65.0,0.0,728.0,728,1456,400.0,179540,1,0
448,103.0,56.0,2392.0,2392,2392,968.0,386250,1,0
2287,69.05520046484602,503.0,530.0,530,992,297.0,106500,0,0
524,85.0,765.0,1017.0,1026,2007,812.0,310000,1,0
1767,83.0,0.0,1066.0,1108,2385,600.0,252000,1,0
2206,53.0,364.0,918.0,918,1646,240.0,164000,0,0
1740,64.0,0.0,728.0,728,1456,400.0,177594,1,0
199,52.0,276.0,528.0,548,1040,624.0,123900,1,0
2214,86.0,1128.0,1370.0,1370,2624,864.0,239000,0,0
323,85.0,42.0,1068.0,1264,1264,528.0,169000,0,0
2421,69.05520046484602,0.0,1374.0,1557,1557,420.0,234000,1,0
952,72.0,841.0,957.0,1287,1287,541.0,173000,0,0
24,69.05520046484602,578.0,1004.0,1004,1004,480.0,149000,0,1
1139,81.0,0.0,1162.0,1162,1162,483.0,170000,1,0
518,90.0,0.0,1436.0,1436,1436,529.0,225000,1,0
1390,94.0,634.0,960.0,960,960,300.0,144900,1,0
277,60.0,1070.0,1196.0,1196,1196,336.0,144000,0,1
54,43.0,24.0,1256.0,1269,1269,430.0,192000,1,0
649,60.0,931.0,1031.0,1031,1031,230.0,145500,0,0
2600,60.0,0.0,448.0,448,720,280.0,86900,0,0
617,128.0,1024.0,1505.0,1505,1505,505.0,149500,0,0
2209,50.0,0.0,920.0,954,954,240.0,119750,0,0
2814,68.0,0.0,750.0,750,1500,564.0,173900,1,0
2542,69.05520046484602,915.0,1050.0,1050,1050,368.0,136500,0,0
2323,68.0,0.0,2062.0,2079,2687,618.0,270000,0,0
1393,69.05520046484602,429.0,1602.0,1252,1252,564.0,235000,0,0
490,62.0,0.0,384.0,774,1430,400.0,156000,1,0
542,60.0,836.0,1114.0,1114,1114,576.0,153000,1,0
973,69.05520046484602,883.0,1224.0,1224,1224,402.0,165000,1,0
1012,77.0,0.0,1122.0,1134,2504,656.0,325000,1,0
2218,79.0,533.0,728.0,760,1355,528.0,140000,1,0
2033,120.0,375.0,741.0,1497,2294,658.0,202500,0,0
1071,65.0,1540.0,1702.0,1702,1702,1052.0,367294,0,0
1583,85.0,783.0,1461.0,1509,1509,600.0,175000,0,0
2858,60.0,216.0,756.0,961,1717,642.0,140000,0,0
2265,42.0,215.0,1265.0,1240,1240,528.0,174000,0,1
1088,59.0,655.0,856.0,1166,1166,400.0,190000,1,0
698,90.0,0.0,504.0,764,1464,0.0,129000,1,0
1896,69.05520046484602,1386.0,1592.0,1652,1652,510.0,200000,0,0
628,100.0,448.0,896.0,1182,2142,509.0,193500,1,0
1212,75.0,787.0,1092.0,1092,1092,504.0,145000,0,0
2864,81.0,526.0,1022.0,1122,1671,451.0,218000,0,0
2740,80.0,0.0,0.0,1488,1488,569.0,135000,0,0
2560,89.0,40.0,1444.0,1624,1624,240.0,146500,0,0
1716,61.0,20.0,1362.0,1362,1362,460.0,194700,1,0
1130,62.0,902.0,1218.0,1218,1218,462.0,230348,0,0
201,51.0,960.0,1124.0,1068,1068,288.0,109500,0,0
2886,69.0,776.0,1625.0,1625,1625,576.0,242500,0,0
2328,44.0,495.0,1064.0,1064,1767,504.0,239000,0,0
2583,70.0,824.0,1050.0,1050,1050,286.0,156000,0,0
1206,77.0,288.0,907.0,907,907,352.0,109008,0,0
2242,64.0,0.0,0.0,640,845,256.0,68104,0,0
1105,69.05520046484602,0.0,1242.0,1251,2501,751.0,290000,1,1
121,90.0,1059.0,1209.0,1209,1209,504.0,159000,0,0
1223,50.0,120.0,348.0,453,906,231.0,87000,0,0
265,69.05520046484602,1358.0,1581.0,1601,1601,670.0,272000,1,0
2813,65.0,996.0,1336.0,1336,1336,502.0,198000,1,0
1294,63.0,0.0,801.0,1095,1656,440.0,119164,0,0
2745,77.0,0.0,0.0,1124,1124,0.0,93000,0,0
1094,71.0,544.0,982.0,1008,1892,431.0,226750,1,0
651,107.0,440.0,978.0,1014,1699,420.0,95000,0,0
198,50.0,300.0,780.0,780,1416,312.0,139900,0,0
131,55.0,0.0,728.0,1306,1306,0.0,76500,0,0
1258,60.0,0.0,672.0,672,672,308.0,86900,1,0
1599,69.05520046484602,785.0,1113.0,1160,1160,257.0,152500,0,0
1508,68.0,767.0,911.0,930,930,286.0,99000,0,0
615,50.0,280.0,420.0,708,708,0.0,82500,1,0
1815,50.0,430.0,1575.0,1575,1575,529.0,179200,0,0
2712,75.0,773.0,1059.0,1059,1059,286.0,142500,0,0
2051,62.0,513.0,1005.0,1005,1005,440.0,115400,0,0
1863,69.05520046484602,738.0,1057.0,1057,1929,650.0,226000,1,0
2510,30.0,0.0,600.0,520,1200,480.0,144152,0,0
1069,112.0,0.0,1765.0,1804,2690,795.0,370000,1,0
336,76.0,207.0,833.0,833,833,495.0,149900,1,0
2417,105.0,0.0,728.0,728,1456,429.0,172785,1,0
1962,60.0,398.0,864.0,864,864,720.0,129000,1,0
372,48.0,0.0,1362.0,1586,1586,435.0,181000,0,1
2578,125.0,678.0,1058.0,1370,1370,300.0,148000,0,0
2824,75.0,475.0,914.0,914,914,0.0,117250,1,0
471,43.0,16.0,1373.0,1555,1555,430.0,192500,1,0
1544,24.0,81.0,716.0,716,1556,452.0,151000,0,0
2141,70.0,138.0,882.0,882,882,461.0,112500,1,0
2008,98.0,645.0,915.0,1167,1167,495.0,144000,0,0
1075,89.0,1204.0,1800.0,1800,1800,944.0,370967,0,0
34,24.0,514.0,855.0,855,1456,440.0,149900,0,0
847,68.0,0.0,831.0,831,1660,493.0,195000,1,0
1629,69.05520046484602,0.0,384.0,812,1482,392.0,163900,0,0
2073,69.05520046484602,299.0,1190.0,1522,1522,552.0,182000,0,0
960,113.0,1758.0,2190.0,2036,2036,780.0,410000,0,0
955,82.0,55.0,1582.0,1595,1595,672.0,152000,0,0
2476,65.0,0.0,891.0,891,1686,462.0,184000,1,0
1590,78.0,1309.0,1344.0,1344,1344,784.0,206300,1,0
2913,69.05520046484602,149.0,1652.0,1652,1652,928.0,146500,0,0
149,60.0,0.0,832.0,832,1337,263.0,108000,0,0
2525,102.0,0.0,570.0,1222,1920,487.0,170000,0,0
1470,69.05520046484602,662.0,848.0,848,848,420.0,145000,1,0
412,24.0,435.0,1057.0,1055,1055,440.0,123000,0,0
1399,69.05520046484602,1003.0,1291.0,1291,1291,431.0,173000,0,0
183,60.0,0.0,624.0,720,720,484.0,105900,1,0
974,21.0,462.0,462.0,526,988,297.0,91000,0,0
930,78.0,312.0,1067.0,986,1523,295.0,158000,0,0
881,65.0,0.0,864.0,864,1728,572.0,190000,1,0
1180,22.0,560.0,1230.0,1239,1239,477.0,217500,0,1
1553,75.0,330.0,1151.0,1151,1955,356.0,165500,0,0
928,75.0,275.0,704.0,860,1564,234.0,174500,0,0
1512,62.0,0.0,416.0,1204,1204,312.0,100000,0,0
3,81.0,923.0,1329.0,1329,1329,312.0,172000,0,0
2140,75.0,330.0,864.0,879,879,440.0,120000,0,0
553,60.0,0.0,721.0,841,841,294.0,82000,0,0
2594,50.0,0.0,784.0,900,1312,649.0,127000,1,0
1314,60.0,319.0,735.0,1134,2058,396.0,129500,0,0
366,69.05520046484602,1036.0,1220.0,1360,1360,565.0,187500,0,1
1462,69.05520046484602,1538.0,1778.0,1786,1786,715.0,300000,1,1
2541,69.05520046484602,416.0,825.0,1097,1993,495.0,190000,0,1
2088,50.0,0.0,951.0,986,1362,280.0,96000,0,0
527,65.0,812.0,1092.0,1112,1550,438.0,241000,0,0
1824,40.0,0.0,1140.0,1696,1696,349.0,143900,0,1
2918,21.0,408.0,546.0,546,1092,286.0,87550,0,0
49,61.0,456.0,1752.0,1752,1752,576.0,319900,0,0
2332,63.0,205.0,1094.0,1102,2473,675.0,356383,1,1
826,122.0,0.0,1800.0,1800,1800,702.0,239000,1,0
1108,91.0,228.0,1080.0,1108,2197,783.0,287500,1,0
2041,69.05520046484602,360.0,720.0,854,1382,660.0,128500,0,0
57,63.0,0.0,847.0,847,1733,433.0,185088,1,0
520,72.0,0.0,1402.0,1402,1402,625.0,229800,1,0
2305,62.0,516.0,864.0,887,887,288.0,124500,0,0
2533,80.0,758.0,1051.0,1051,1051,504.0,142000,0,0
2852,69.0,305.0,755.0,755,1510,216.0,149000,0,0
1198,87.0,0.0,1656.0,1656,1656,506.0,135000,0,0
1681,69.05520046484602,120.0,1078.0,958,958,440.0,128000,0,0
1773,69.05520046484602,1231.0,3200.0,3228,3228,546.0,430000,0,0
1825,84.0,812.0,1040.0,1040,1040,686.0,145000,0,0
2208,53.0,0.0,661.0,661,1250,552.0,139000,0,0
1646,78.0,0.0,585.0,1140,1868,477.0,178000,1,0
1060,96.0,1082.0,1620.0,1632,2790,1150.0,460000,0,0
748,69.05520046484602,0.0,844.0,1445,2134,441.0,214500,0,0
2846,69.05520046484602,0.0,686.0,948,1928,0.0,160000,1,0
493,69.05520046484602,772.0,992.0,1022,2060,390.0,214000,1,0
694,68.0,0.0,901.0,861,1378,162.0,128900,0,0
2283,69.05520046484602,1159.0,1249.0,1622,1622,1356.0,168000,0,0
1800,112.0,745.0,955.0,955,1880,880.0,310013,0,0
1632,69.05520046484602,0.0,1074.0,1088,1088,461.0,170000,0,0
2624,70.0,369.0,1040.0,1040,1040,286.0,133700,0,0
2197,55.0,0.0,602.0,900,1502,180.0,165000,0,0
1045,21.0,358.0,483.0,483,987,264.0,89500,0,0
2549,75.0,513.0,588.0,1095,1095,264.0,140000,0,0
2829,24.0,0.0,970.0,970,1709,380.0,134000,1,0
2480,70.0,758.0,836.0,844,1731,462.0,248500,0,0
2724,69.05520046484602,648.0,648.0,960,960,364.0,145000,1,1
2352,85.0,550.0,713.0,811,1552,434.0,179900,1,0
1783,75.0,0.0,1795.0,1795,1795,895.0,147000,1,0
338,63.0,458.0,624.0,624,1274,576.0,136000,0,0
196,50.0,264.0,572.0,848,1196,576.0,128000,0,0
762,50.0,0.0,560.0,704,704,220.0,88750,0,0
151,119.0,648.0,972.0,972,972,305.0,122500,0,0
158,78.0,0.0,912.0,912,1458,330.0,97500,1,0
2572,109.0,0.0,1008.0,1008,1008,430.0,135000,0,0
1686,90.0,48.0,1822.0,1828,1828,774.0,314813,0,0
943,105.0,0.0,1013.0,1013,1526,0.0,85000,0,0
735,50.0,0.0,698.0,786,1176,624.0,134900,0,0
2741,70.0,0.0,1057.0,1057,1057,288.0,137000,0,0
1106,91.0,1696.0,2109.0,2113,2113,839.0,350000,0,0
2375,65.0,373.0,943.0,1387,1387,300.0,145000,0,0
1701,118.0,0.0,1704.0,1722,2758,814.0,418000,0,1
2657,48.0,0.0,798.0,840,840,250.0,64000,0,0
907,55.0,182.0,793.0,848,1520,281.0,159434,1,0
1777,91.0,1220.0,1542.0,1542,1542,852.0,260261,1,0
164,71.0,507.0,910.0,910,1385,720.0,166000,0,0
1973,66.0,734.0,896.0,936,936,288.0,130000,0,0
2857,51.0,384.0,824.0,824,1288,240.0,112000,0,0
1208,80.0,776.0,1120.0,1128,1128,525.0,155000,0,0
319,92.0,0.0,774.0,774,1968,680.0,269500,1,0
2567,69.05520046484602,939.0,1246.0,1246,1246,441.0,172000,0,0
2222,75.0,410.0,800.0,960,1740,240.0,219500,0,0
2493,69.05520046484602,181.0,925.0,925,925,484.0,133500,0,0
1757,76.0,0.0,384.0,774,1430,400.0,170000,1,0
184,60.0,0.0,930.0,930,1566,288.0,150000,0,0
1248,69.05520046484602,624.0,984.0,950,950,400.0,130000,0,0
2574,70.0,748.0,1144.0,1144,1144,796.0,143000,0,0
1215,90.0,0.0,1114.0,1114,1114,451.0,140000,0,0
1614,95.0,1880.0,2223.0,2223,2223,516.0,244000,0,0
2039,60.0,0.0,530.0,581,1111,288.0,101000,0,0
2669,65.0,0.0,960.0,960,960,624.0,125000,0,0
1005,73.0,0.0,932.0,932,1633,460.0,183000,1,0
753,92.0,0.0,755.0,929,2229,0.0,104000,0,0
1275,64.0,0.0,936.0,984,984,280.0,112500,0,0
2350,79.0,625.0,1686.0,1686,1686,612.0,207500,0,0
2762,78.0,56.0,1614.0,1614,1614,576.0,225000,1,0
2788,60.0,437.0,864.0,864,864,297.0,119900,1,0
2384,108.0,0.0,1721.0,1740,1740,874.0,293000,1,0
2716,78.0,570.0,1461.0,1721,1721,440.0,180000,0,0
313,69.05520046484602,539.0,1012.0,1034,1034,888.0,169900,0,0
84,68.0,0.0,0.0,1318,1902,539.0,112000,1,0
81,81.0,338.0,1040.0,1097,1097,480.0,152000,0,0
2389,120.0,0.0,1090.0,1117,2206,670.0,300000,1,0
280,94.0,422.0,1029.0,1117,1117,672.0,107000,0,0
190,60.0,0.0,777.0,1246,2290,560.0,122500,1,0
2371,21.0,276.0,483.0,483,948,264.0,89000,0,0
213,65.0,368.0,600.0,600,919,231.0,95000,1,0
1864,78.0,0.0,912.0,1152,1152,412.0,143450,0,0
37,102.0,0.0,1590.0,1627,2334,751.0,376162,1,0
146,73.0,697.0,1268.0,1264,1264,461.0,167500,0,0
809,64.0,1086.0,1086.0,1224,1224,528.0,153337,0,0
767,54.0,551.0,672.0,697,1369,300.0,103600,0,0
262,75.0,182.0,894.0,894,894,308.0,128200,0,0
101,69.05520046484602,378.0,756.0,769,1573,440.0,177500,0,0
48,105.0,578.0,1671.0,1687,2250,756.0,320000,1,0
489,42.0,683.0,794.0,819,1514,394.0,190000,1,0
2369,21.0,0.0,672.0,672,1218,0.0,91500,0,0
707,50.0,0.0,811.0,811,1387,256.0,93000,0,0
1556,50.0,0.0,649.0,649,1317,250.0,40000,0,0
2034,60.0,0.0,684.0,773,1355,0.0,127000,0,0
308,66.0,0.0,756.0,952,952,330.0,50138,0,0
2176,69.05520046484602,751.0,1143.0,1113,1113,504.0,148000,0,0
1549,71.0,403.0,740.0,778,778,924.0,120500,1,0
909,60.0,0.0,778.0,944,1489,240.0,139500,1,0
892,86.0,1234.0,1698.0,1698,1698,768.0,320000,0,0
2045,107.0,288.0,1005.0,1262,2267,498.0,219000,0,0
2927,69.05520046484602,301.0,864.0,902,902,484.0,131000,0,0
1732,62.0,0.0,738.0,738,1495,440.0,171925,1,0
998,53.0,450.0,1348.0,1384,1384,404.0,177900,0,0
2203,53.0,0.0,585.0,851,1436,228.0,141500,1,0
356,60.0,476.0,952.0,952,1636,440.0,191000,1,0
2475,63.0,941.0,1158.0,1158,1158,576.0,158000,1,0
2264,67.0,0.0,1638.0,1646,1646,870.0,248900,1,0
2201,60.0,569.0,731.0,981,1768,240.0,175000,0,0
2545,80.0,901.0,1187.0,1565,1565,299.0,185900,0,0
2660,60.0,390.0,880.0,880,1768,320.0,163000,0,0
2882,50.0,0.0,660.0,1060,1396,0.0,115000,0,0
1379,80.0,528.0,1008.0,1096,1096,484.0,157500,0,0
