Id,Lot Frontage,BsmtFin SF 1,Total Bsmt SF,1st Flr SF,1st Flr SF,Gr Liv Area,Garage Area,Mas Vnr Area,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence
807,120.0,0.0,0.0,1288,1288,2016,576.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,3,5,7,4,3,0,0,0,0,0,5,5,3,5,3,1,3,3,2,0,0
1177,24.0,813.0,960.0,962,962,1607,480.0,456.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,8,5,4,3,4,3,1,6,1,5,5,4,8,0,1,3,3,3,0,0
1480,74.0,24.0,1351.0,1361,1361,1361,610.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,7,5,4,3,4,3,3,6,1,5,5,4,8,0,2,3,3,3,0,0
324,93.0,0.0,1430.0,1430,1430,1430,624.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,5,3,3,5,3,3,1,1,5,5,4,8,0,2,3,3,3,0,0
1311,34.0,0.0,624.0,624,624,1344,513.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,3,5,5,3,3,3,3,1,1,1,2,5,3,8,0,1,2,2,3,0,0
770,80.0,651.0,1121.0,1121,1121,1121,480.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,5,6,3,3,3,3,1,3,1,3,5,3,8,0,1,3,3,3,0,3
2063,71.0,0.0,660.0,1285,1285,1285,528.0,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,6,5,3,3,3,3,1,1,1,5,5,3,8,3,2,3,3,3,0,3
69,72.0,24.0,756.0,764,764,1547,614.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,7,5,3,3,4,3,2,6,1,5,5,4,8,0,1,3,3,3,0,0
2062,109.0,492.0,894.0,894,894,894,450.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,5,5,3,3,4,3,1,4,1,4,5,3,8,1,3,3,3,3,0,0
351,40.0,1158.0,1501.0,1659,1659,1659,499.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,8,5,4,3,4,3,1,6,1,5,5,5,8,5,3,3,3,3,0,0
2393,103.0,0.0,1209.0,1209,1209,2253,575.0,99.69590931493346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,8,5,4,3,5,3,3,1,1,5,5,5,8,4,3,3,3,3,0,0
12,69.05520046484602,935.0,1168.0,1187,1187,1187,420.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,7,3,4,4,3,1,5,1,5,5,3,8,0,3,3,3,3,0,4
2339,100.0,1056.0,1056.0,1056,1056,1056,572.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,5,3,3,3,3,2,3,1,3,5,3,8,0,3,3,3,3,0,0
624,92.0,1312.0,1453.0,1453,1453,1453,530.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,3,3,3,3,1,3,1,5,5,3,8,3,2,3,3,3,0,4
86,65.0,553.0,894.0,894,894,894,336.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,5,8,3,4,3,3,1,6,4,5,5,3,8,4,1,3,3,3,0,3
1534,69.05520046484602,606.0,942.0,1265,1265,1938,240.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5,6,3,3,3,3,1,4,1,5,5,4,6,4,1,3,3,3,0,0
2243,75.0,0.0,957.0,1034,1034,1991,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,6,3,4,3,3,1,1,1,2,5,3,8,0,0,0,0,1,0,0
1957,60.0,0.0,672.0,672,672,924,576.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,7,3,4,3,3,2,1,1,5,5,3,8,1,1,3,3,3,0,3
380,80.0,1104.0,2524.0,2524,2524,2524,542.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3,8,5,4,3,4,3,1,5,1,3,5,4,8,4,3,3,3,3,0,3
2860,69.05520046484602,0.0,792.0,792,792,1517,400.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,8,7,3,3,4,3,1,1,1,2,5,4,8,4,1,3,3,3,0,0
2517,30.0,437.0,1494.0,1494,1494,1494,481.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,8,5,4,4,4,4,3,2,6,5,5,5,8,4,3,3,3,3,0,0
1933,60.0,441.0,948.0,948,948,948,410.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,6,3,3,3,3,1,5,1,3,5,3,8,0,1,3,3,1,0,0
820,79.0,1288.0,1705.0,1718,1718,1718,826.0,336.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,8,5,4,3,5,3,4,6,1,5,5,4,8,4,2,3,3,3,0,0
675,80.0,0.0,160.0,1142,1142,1142,384.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,6,6,3,3,4,3,4,1,1,2,5,3,8,4,2,3,3,3,0,0
2910,41.0,548.0,757.0,925,925,1475,336.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,6,3,3,3,3,1,5,3,5,5,3,8,3,2,3,3,3,0,0
21,105.0,705.0,1844.0,1844,1844,1844,546.0,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,3,3,4,3,1,4,1,5,5,3,8,3,2,3,3,3,0,3
1873,80.0,916.0,1242.0,1242,1242,1242,528.0,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3,7,6,3,3,3,3,1,5,1,2,5,3,8,3,1,3,3,3,0,0
2125,60.0,420.0,990.0,990,990,990,384.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,7,3,4,4,4,1,6,1,5,5,3,8,0,1,3,3,3,0,0
1489,75.0,830.0,1256.0,1256,1256,1256,276.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,6,4,3,3,3,1,4,2,4,5,3,8,0,3,3,3,3,0,0
2383,107.0,1386.0,2076.0,2076,2076,2076,850.0,99.69590931493346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,10,5,5,3,5,4,4,6,1,5,5,5,8,4,3,3,3,3,0,0
983,69.05520046484602,1097.0,1097.0,1110,1110,1110,602.0,104.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,6,3,4,4,3,3,6,1,5,5,4,8,3,3,3,3,3,0,0
1325,81.0,0.0,1050.0,1050,1050,1795,352.0,335.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,3,5,5,3,3,3,3,1,1,1,5,3,3,8,0,1,2,3,3,0,0
1378,70.0,906.0,1040.0,1040,1040,1040,384.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,5,5,3,3,3,3,1,3,1,5,5,3,8,0,1,3,3,3,0,0
1537,100.0,210.0,608.0,983,983,1873,786.0,40.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,8,6,3,3,3,2,1,2,1,3,5,3,8,4,3,2,3,3,0,0
905,60.0,408.0,984.0,984,984,1604,660.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,5,3,3,3,3,1,2,4,5,5,3,6,0,1,3,3,3,0,0
1532,60.0,0.0,776.0,851,851,1502,270.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,7,6,3,2,4,3,1,1,1,3,5,3,8,4,2,3,3,2,0,3
132,80.0,354.0,1056.0,1063,1063,1063,280.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,5,3,3,3,3,1,3,2,3,5,3,8,0,2,3,3,3,0,3
1078,36.0,0.0,764.0,764,764,1626,474.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,8,0,2,3,3,3,0,0
2511,69.05520046484602,353.0,756.0,768,768,1524,440.0,513.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,6,5,4,3,4,3,1,6,1,5,5,4,8,0,1,3,3,3,0,0
912,65.0,622.0,1122.0,1328,1328,1981,576.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,4,3,3,3,3,3,1,4,1,3,5,4,6,3,1,3,3,3,0,3
2351,80.0,790.0,1392.0,1392,1392,2784,564.0,184.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,7,5,3,3,4,3,1,4,2,3,5,4,8,3,2,3,3,3,1,3
330,21.0,176.0,546.0,546,546,1092,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,7,3,3,3,3,1,6,1,5,5,3,8,0,0,0,0,3,0,0
2586,75.0,0.0,216.0,1575,1575,1575,400.0,522.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,6,3,3,3,3,1,1,1,3,5,4,8,4,1,3,3,3,0,0
224,80.0,371.0,663.0,663,663,1352,299.0,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,6,7,3,3,3,3,1,5,1,3,5,3,8,0,3,3,3,3,0,3
98,24.0,368.0,600.0,600,600,1200,480.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,7,5,4,3,4,3,1,6,5,5,5,4,8,0,2,3,3,3,0,0
2565,82.0,486.0,936.0,936,936,936,240.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,6,3,4,3,3,1,4,1,3,4,3,8,0,1,3,3,3,0,3
1934,68.0,85.0,1040.0,1040,1040,1040,293.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,7,3,3,3,3,1,3,5,3,3,3,8,0,3,3,3,3,0,3
997,69.05520046484602,138.0,916.0,916,916,1636,386.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6,5,3,3,4,3,1,3,1,4,5,3,8,3,3,3,3,3,0,0
64,92.0,524.0,1152.0,1164,1164,2270,671.0,348.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,8,7,4,3,4,3,1,6,1,5,5,4,8,4,3,3,3,3,0,0
1799,75.0,64.0,1184.0,1184,1184,2610,550.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,8,5,4,3,4,3,3,6,1,5,5,5,8,4,3,3,3,3,0,0
230,69.05520046484602,1092.0,1420.0,1483,1483,1483,690.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,7,7,4,4,4,3,4,5,1,4,5,3,8,3,2,3,3,3,0,0
1295,81.0,360.0,936.0,960,960,1740,225.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,3,5,5,2,2,3,3,1,3,1,4,4,5,8,4,1,2,2,1,0,0
638,70.0,172.0,1382.0,1382,1382,1382,350.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,5,3,3,3,3,1,3,2,4,4,4,8,0,1,3,3,3,0,2
2278,70.0,206.0,1120.0,1120,1120,1120,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,5,3,3,4,3,1,5,1,5,5,3,8,0,0,0,0,3,0,0
2202,63.0,246.0,531.0,567,567,1098,216.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,7,8,3,3,4,3,1,6,1,3,5,3,8,4,1,3,3,3,0,3
2833,32.0,0.0,976.0,976,976,1708,380.0,117.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,4,0,1,3,3,3,0,0
1707,94.0,0.0,1802.0,1802,1802,1802,843.0,510.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,9,5,5,3,5,3,4,1,1,5,5,5,8,4,3,3,3,3,0,0
2428,43.0,16.0,1362.0,1506,1506,1506,440.0,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,7,5,4,3,4,3,4,6,1,5,5,4,8,4,3,3,3,3,0,0
242,44.0,1346.0,1508.0,1508,1508,1508,572.0,96.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,5,4,3,4,3,4,6,1,5,5,4,8,3,2,3,3,3,0,0
1564,69.05520046484602,700.0,1840.0,2032,2032,2032,786.0,668.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,5,4,3,5,3,2,6,1,5,5,4,8,0,3,3,3,3,0,0
2613,79.0,655.0,655.0,1194,1194,1194,539.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,6,3,3,3,3,2,5,1,5,5,3,8,2,3,3,3,3,0,0
2832,24.0,0.0,970.0,970,970,1709,380.0,50.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,4,0,1,3,3,3,0,0
2459,73.0,0.0,1616.0,1616,1616,1616,834.0,228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,7,5,4,3,4,3,3,1,1,5,5,4,8,0,2,3,3,3,0,0
1360,69.05520046484602,0.0,768.0,768,768,768,440.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,4,4,3,3,1,1,1,3,5,3,8,0,1,3,3,1,0,0
2723,69.05520046484602,0.0,872.0,872,872,872,322.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,5,5,3,3,3,3,1,1,1,2,3,2,5,4,1,2,2,1,0,0
1350,60.0,0.0,520.0,520,520,520,240.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,6,3,3,3,3,1,1,1,2,5,2,8,0,1,2,3,3,0,0
136,80.0,443.0,1105.0,1105,1105,2274,480.0,361.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,5,3,3,3,3,1,3,1,3,4,3,8,0,1,3,3,3,0,0
2235,50.0,0.0,936.0,936,936,1601,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,7,4,4,3,1,1,1,1,5,5,3,8,0,0,0,0,1,0,0
1993,35.0,168.0,616.0,616,616,1232,480.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,3,5,7,3,3,3,3,1,4,1,5,5,3,8,0,1,2,2,3,0,0
367,63.0,1904.0,2216.0,2234,2234,2234,1166.0,748.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,9,5,5,3,5,3,1,6,1,5,5,5,8,4,3,3,3,3,0,0
1309,100.0,0.0,876.0,876,876,1416,720.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,5,8,3,3,3,3,2,1,1,4,5,3,8,4,1,3,3,3,0,0
402,60.0,240.0,864.0,864,864,864,576.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,7,3,4,3,3,1,5,1,4,5,3,8,0,1,3,3,3,0,2
1592,32.0,864.0,1189.0,1189,1189,1189,392.0,197.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,5,3,3,5,3,1,6,1,5,5,3,8,0,2,3,3,3,0,0
2409,48.0,415.0,1666.0,1666,1666,1666,575.0,572.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,9,5,5,3,5,4,1,6,1,5,5,4,8,4,2,3,3,3,0,0
539,67.0,833.0,1176.0,1200,1200,1200,555.0,99.69590931493346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,3,7,5,4,3,4,3,1,6,1,5,5,4,8,0,2,3,3,3,0,0
1940,70.0,377.0,928.0,928,928,928,252.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,7,3,3,4,3,1,3,1,3,5,3,8,0,1,3,3,3,0,0
588,80.0,553.0,1288.0,1336,1336,1336,502.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3,5,5,3,3,4,3,2,5,3,3,5,3,8,2,2,3,3,3,0,0
96,30.0,280.0,600.0,600,600,1200,480.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,7,5,4,3,4,3,3,6,1,5,5,4,8,0,2,3,3,3,0,0
1187,69.05520046484602,828.0,1427.0,1427,1427,1427,516.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,3,3,3,3,3,6,1,4,5,3,8,0,2,3,3,3,0,0
2154,69.05520046484602,762.0,860.0,1212,1212,1992,608.0,254.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,5,4,3,4,3,2,6,1,5,5,4,6,3,2,3,3,3,0,0
550,70.0,36.0,754.0,754,754,1540,495.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,3,7,5,4,3,4,3,1,2,6,5,5,4,8,0,2,3,3,3,0,0
811,64.0,0.0,0.0,1535,1535,1535,400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,3,5,5,3,3,0,0,0,0,0,3,5,3,8,0,1,3,3,3,0,4
124,69.05520046484602,1014.0,1152.0,1152,1152,1152,484.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,7,3,3,3,3,3,6,1,3,5,3,8,4,2,3,3,3,0,0
1836,80.0,60.0,1141.0,1151,1151,1151,484.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,8,5,4,3,4,3,1,6,1,5,5,4,8,0,3,3,3,3,0,0
779,88.0,588.0,1138.0,1138,1138,1138,480.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,6,5,3,3,3,3,3,4,1,5,5,3,8,3,2,3,3,3,0,3
1886,74.0,438.0,894.0,1074,1074,1074,396.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,3,3,3,3,1,3,2,4,5,4,7,4,1,3,3,3,0,2
1724,60.0,1153.0,1561.0,1561,1561,1561,556.0,246.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,9,5,5,3,5,3,1,6,1,5,5,5,8,4,3,3,3,3,0,0
2450,83.0,527.0,1342.0,1358,1358,2726,725.0,397.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,8,5,4,3,4,3,1,5,1,5,5,4,8,5,2,3,3,3,0,0
