Id,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence
2393,3,3,3,8,5,4,3,5,3,3,1,1,5,5,5,8,4,3,3,3,3,0,0
12,3,3,3,6,7,3,4,4,3,1,5,1,5,5,3,8,0,3,3,3,3,0,4
2339,4,3,3,5,5,3,3,3,3,2,3,1,3,5,3,8,0,3,3,3,3,0,0
624,3,3,3,6,6,3,3,3,3,1,3,1,5,5,3,8,3,2,3,3,3,0,4
86,4,3,3,5,8,3,4,3,3,1,6,4,5,5,3,8,4,1,3,3,3,0,3
1534,3,3,2,5,6,3,3,3,3,1,4,1,5,5,4,6,4,1,3,3,3,0,0
2243,4,3,3,5,6,3,4,3,3,1,1,1,2,5,3,8,0,0,0,0,1,0,0
1957,4,3,3,5,7,3,4,3,3,2,1,1,5,5,3,8,1,1,3,3,3,0,3
380,4,3,3,8,5,4,3,4,3,1,5,1,3,5,4,8,4,3,3,3,3,0,3
2860,3,3,2,8,7,3,3,4,3,1,1,1,2,5,4,8,4,1,3,3,3,0,0
2517,3,3,3,8,5,4,4,4,4,3,2,6,5,5,5,8,4,3,3,3,3,0,0
1933,4,3,3,6,6,3,3,3,3,1,5,1,3,5,3,8,0,1,3,3,1,0,0
820,4,3,3,8,5,4,3,5,3,4,6,1,5,5,4,8,4,2,3,3,3,0,0
675,3,3,2,6,6,3,3,4,3,4,1,1,2,5,3,8,4,2,3,3,3,0,0
2910,4,3,3,5,6,3,3,3,3,1,5,3,5,5,3,8,3,2,3,3,3,0,0
21,3,3,3,6,6,3,3,4,3,1,4,1,5,5,3,8,3,2,3,3,3,0,3
1873,4,3,3,7,6,3,3,3,3,1,5,1,2,5,3,8,3,1,3,3,3,0,0
2125,2,3,3,5,7,3,4,4,4,1,6,1,5,5,3,8,0,1,3,3,3,0,0
1489,4,3,3,5,6,4,3,3,3,1,4,2,4,5,3,8,0,3,3,3,3,0,0
2383,4,3,3,10,5,5,3,5,4,4,6,1,5,5,5,8,4,3,3,3,3,0,0
983,3,3,3,5,6,3,4,4,3,3,6,1,5,5,4,8,3,3,3,3,3,0,0
1325,4,3,3,5,5,3,3,3,3,1,1,1,5,3,3,8,0,1,2,3,3,0,0
1378,4,3,3,5,5,3,3,3,3,1,3,1,5,5,3,8,0,1,3,3,3,0,0
1537,3,3,2,8,6,3,3,3,2,1,2,1,3,5,3,8,4,3,2,3,3,0,0
905,4,3,3,5,5,3,3,3,3,1,2,4,5,5,3,6,0,1,3,3,3,0,0
1532,4,3,2,7,6,3,2,4,3,1,1,1,3,5,3,8,4,2,3,3,2,0,3
132,4,3,3,5,5,3,3,3,3,1,3,2,3,5,3,8,0,2,3,3,3,0,3
1078,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,8,0,2,3,3,3,0,0
2511,4,3,3,6,5,4,3,4,3,1,6,1,5,5,4,8,0,1,3,3,3,0,0
912,4,3,3,4,3,3,3,3,3,1,4,1,3,5,4,6,3,1,3,3,3,0,3
2351,3,3,3,7,5,3,3,4,3,1,4,2,3,5,4,8,3,2,3,3,3,1,3
330,4,3,3,4,7,3,3,3,3,1,6,1,5,5,3,8,0,0,0,0,3,0,0
2586,4,3,3,6,6,3,3,3,3,1,1,1,3,5,4,8,4,1,3,3,3,0,0
224,4,3,3,6,7,3,3,3,3,1,5,1,3,5,3,8,0,3,3,3,3,0,3
98,4,3,3,7,5,4,3,4,3,1,6,5,5,5,4,8,0,2,3,3,3,0,0
2565,4,3,3,5,6,3,4,3,3,1,4,1,3,4,3,8,0,1,3,3,3,0,3
1934,4,3,3,6,7,3,3,3,3,1,3,5,3,3,3,8,0,3,3,3,3,0,3
997,2,3,3,6,5,3,3,4,3,1,3,1,4,5,3,8,3,3,3,3,3,0,0
64,3,3,3,8,7,4,3,4,3,1,6,1,5,5,4,8,4,3,3,3,3,0,0
1799,4,3,3,8,5,4,3,4,3,3,6,1,5,5,5,8,4,3,3,3,3,0,0
230,3,3,2,7,7,4,4,4,3,4,5,1,4,5,3,8,3,2,3,3,3,0,0
1295,4,3,3,5,5,2,2,3,3,1,3,1,4,4,5,8,4,1,2,2,1,0,0
638,4,3,3,5,5,3,3,3,3,1,3,2,4,4,4,8,0,1,3,3,3,0,2
2278,4,3,3,5,5,3,3,4,3,1,5,1,5,5,3,8,0,0,0,0,3,0,0
2202,4,3,3,7,8,3,3,4,3,1,6,1,3,5,3,8,4,1,3,3,3,0,3
2833,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,4,0,1,3,3,3,0,0
1707,3,3,2,9,5,5,3,5,3,4,1,1,5,5,5,8,4,3,3,3,3,0,0
2428,4,3,3,7,5,4,3,4,3,4,6,1,5,5,4,8,4,3,3,3,3,0,0
242,2,3,3,7,5,4,3,4,3,4,6,1,5,5,4,8,3,2,3,3,3,0,0
1564,2,3,3,7,5,4,3,5,3,2,6,1,5,5,4,8,0,3,3,3,3,0,0
2613,4,3,3,6,6,3,3,3,3,2,5,1,5,5,3,8,2,3,3,3,3,0,0
2832,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,4,0,1,3,3,3,0,0
2459,4,3,3,7,5,4,3,4,3,3,1,1,5,5,4,8,0,2,3,3,3,0,0
1360,3,3,3,6,6,4,4,3,3,1,1,1,3,5,3,8,0,1,3,3,1,0,0
2723,4,3,3,5,5,3,3,3,3,1,1,1,2,3,2,5,4,1,2,2,1,0,0
1350,3,3,3,4,6,3,3,3,3,1,1,1,2,5,2,8,0,1,2,3,3,0,0
136,4,3,3,5,5,3,3,3,3,1,3,1,3,4,3,8,0,1,3,3,3,0,0
2235,4,3,3,5,7,4,4,3,1,1,1,1,5,5,3,8,0,0,0,0,1,0,0
1993,4,3,3,5,7,3,3,3,3,1,4,1,5,5,3,8,0,1,2,2,3,0,0
367,3,3,3,9,5,5,3,5,3,1,6,1,5,5,5,8,4,3,3,3,3,0,0
1309,3,3,3,5,8,3,3,3,3,2,1,1,4,5,3,8,4,1,3,3,3,0,0
402,4,3,3,4,7,3,4,3,3,1,5,1,4,5,3,8,0,1,3,3,3,0,2
1592,4,3,3,6,5,3,3,5,3,1,6,1,5,5,3,8,0,2,3,3,3,0,0
2409,4,3,3,9,5,5,3,5,4,1,6,1,5,5,4,8,4,2,3,3,3,0,0
539,4,3,3,7,5,4,3,4,3,1,6,1,5,5,4,8,0,2,3,3,3,0,0
1940,4,3,3,5,7,3,3,4,3,1,3,1,3,5,3,8,0,1,3,3,3,0,0
588,4,3,3,5,5,3,3,4,3,2,5,3,3,5,3,8,2,2,3,3,3,0,0
96,4,3,3,7,5,4,3,4,3,3,6,1,5,5,4,8,0,2,3,3,3,0,0
1187,3,3,3,6,6,3,3,3,3,3,6,1,4,5,3,8,0,2,3,3,3,0,0
2154,1,3,3,7,5,4,3,4,3,2,6,1,5,5,4,6,3,2,3,3,3,0,0
550,4,3,3,7,5,4,3,4,3,1,2,6,5,5,4,8,0,2,3,3,3,0,0
811,4,3,3,5,5,3,3,0,0,0,0,0,3,5,3,8,0,1,3,3,3,0,4
124,3,3,3,5,7,3,3,3,3,3,6,1,3,5,3,8,4,2,3,3,3,0,0
1836,3,3,3,8,5,4,3,4,3,1,6,1,5,5,4,8,0,3,3,3,3,0,0
779,4,3,3,6,5,3,3,3,3,3,4,1,5,5,3,8,3,2,3,3,3,0,3
1886,3,3,3,5,5,3,3,3,3,1,3,2,4,5,4,7,4,1,3,3,3,0,2
1724,4,3,3,9,5,5,3,5,3,1,6,1,5,5,5,8,4,3,3,3,3,0,0
2450,3,3,3,8,5,4,3,4,3,1,5,1,5,5,4,8,5,2,3,3,3,0,0
1013,3,3,3,9,5,5,3,5,3,4,6,1,5,5,5,8,4,3,3,3,3,0,0
2084,3,3,3,4,7,3,3,3,3,2,5,1,5,5,3,8,0,0,0,0,1,0,0
1184,4,3,3,8,9,5,5,4,5,2,6,3,5,5,5,8,4,2,3,3,3,0,2
728,4,3,3,3,3,3,2,2,3,1,1,1,3,5,3,8,0,0,0,0,1,0,0
950,3,3,3,6,5,3,3,5,3,1,5,1,5,5,4,8,3,3,3,3,3,0,0
2524,3,3,3,5,6,3,3,4,3,1,6,1,5,5,3,8,0,3,3,3,3,0,3
2513,4,3,3,7,5,4,3,4,3,1,6,1,5,5,4,8,0,1,3,3,3,0,0
2028,4,3,3,6,7,3,4,3,3,1,3,2,3,5,4,8,4,1,3,3,3,0,2
2309,3,3,1,6,6,3,3,4,3,4,5,1,5,5,5,7,4,1,3,3,3,0,0
51,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,8,0,2,3,3,3,0,0
699,4,3,3,5,6,3,3,3,3,1,5,1,3,4,3,8,4,1,3,3,3,0,3
1881,3,3,3,5,5,3,3,3,3,1,1,1,3,5,3,7,3,2,3,3,3,0,2
1345,4,3,3,5,7,3,3,3,3,1,1,1,3,5,3,8,4,1,3,3,2,0,0
166,3,3,3,6,6,3,3,3,3,1,1,1,3,5,3,8,0,1,3,3,3,0,0
781,4,3,3,2,2,3,3,0,0,0,0,0,2,5,2,6,0,0,0,0,1,0,0
379,4,3,3,6,5,3,3,3,3,1,5,1,4,5,3,8,3,3,3,3,3,0,0
2818,4,3,3,5,4,3,3,3,3,1,4,1,3,5,2,8,4,3,3,3,3,0,0
1168,3,3,3,9,5,4,3,4,3,3,6,1,5,5,5,8,3,3,3,3,3,0,0
1396,4,3,3,5,3,3,3,3,3,2,3,1,4,5,3,5,3,1,3,3,3,0,0
838,3,3,3,6,5,3,3,4,3,1,6,1,5,5,4,8,0,2,3,3,3,0,3
1492,4,3,3,5,6,3,3,3,3,1,4,1,5,5,3,8,4,0,0,0,3,0,0
637,4,3,3,5,5,3,3,3,3,1,3,4,3,5,3,8,0,2,3,3,3,0,2
1826,3,3,3,5,5,3,3,3,3,1,3,1,3,5,3,8,0,1,3,3,3,0,0
173,4,3,3,5,6,3,3,3,3,1,1,1,4,4,3,8,4,1,3,3,3,0,0
715,4,3,3,5,7,3,3,3,3,1,2,1,3,5,3,8,0,1,3,3,3,0,1
1183,3,3,3,9,3,4,4,4,3,1,6,1,3,5,4,8,4,2,3,3,3,0,0
2433,3,3,3,8,5,4,3,5,4,3,1,1,5,5,4,8,4,3,3,3,3,0,0
2866,3,3,3,7,7,3,3,3,3,1,1,1,5,5,4,8,4,1,3,3,3,0,2
2311,3,3,3,6,5,3,3,3,3,1,6,1,5,5,3,8,3,3,3,3,3,0,0
1551,4,3,3,5,5,2,3,4,3,2,3,1,5,5,3,5,1,1,3,3,3,0,3
1049,4,3,3,7,6,3,3,4,3,1,5,1,2,5,3,8,0,1,3,3,3,0,0
657,4,3,3,5,7,3,4,3,3,1,1,1,5,5,4,8,0,1,3,3,3,0,0
414,4,3,3,6,5,3,3,4,3,1,5,1,3,5,3,8,3,1,3,3,3,0,0
1181,3,3,3,8,5,4,3,4,3,4,6,1,5,5,4,8,4,3,3,3,3,0,0
1514,4,3,3,5,6,3,3,3,3,1,3,1,3,4,3,8,0,0,0,0,3,0,0
1040,4,3,3,6,5,3,3,3,3,1,2,1,3,5,3,8,0,1,3,3,3,0,0
216,4,3,3,5,8,3,4,3,3,1,1,1,4,5,3,8,0,0,0,0,1,0,0
1720,4,3,3,8,5,4,3,4,4,2,6,1,5,5,4,8,4,2,3,3,3,0,0
2331,3,3,3,10,5,5,3,5,3,4,1,1,5,5,5,8,5,3,3,3,3,0,0
204,4,3,3,6,8,4,4,3,3,1,1,1,5,5,4,8,0,0,0,0,1,0,0
19,4,3,3,4,5,3,3,3,3,1,2,1,5,5,3,8,0,1,3,3,3,0,0
2438,3,3,3,6,5,3,3,4,3,1,5,1,5,5,3,8,3,3,3,3,3,0,0
89,3,3,3,5,8,3,4,3,3,1,5,1,5,5,3,8,0,1,3,3,3,0,0
240,4,3,3,5,7,3,3,3,3,3,4,1,3,5,3,8,0,3,3,3,3,0,0
105,3,3,3,8,5,4,3,5,1,1,6,1,5,5,4,8,4,2,3,3,3,0,0
2020,4,3,3,6,6,3,3,3,2,1,2,1,3,4,3,8,4,1,3,3,3,0,0
888,4,3,3,7,5,4,3,0,0,0,0,0,5,5,4,8,5,2,3,3,3,0,0
1019,3,3,3,6,6,3,4,4,3,1,6,2,3,5,4,8,3,3,3,3,3,0,4
2132,4,3,3,7,5,4,3,4,3,1,6,1,5,5,4,8,3,3,3,3,3,0,0
203,4,3,3,4,5,3,2,3,3,1,1,1,5,5,3,8,3,1,3,3,3,0,4
420,4,3,3,5,7,4,3,3,3,1,4,1,5,5,3,8,3,2,3,3,3,0,0
2333,3,3,3,9,5,4,3,5,3,3,6,1,5,5,5,8,4,3,3,3,3,0,0
632,4,3,3,6,3,3,3,3,3,1,5,3,4,5,3,8,4,2,3,3,3,0,0
2800,4,3,3,7,5,4,4,4,4,3,6,1,5,5,4,8,3,2,3,3,3,0,0
1885,3,3,3,5,7,3,3,3,3,1,4,2,2,5,3,8,0,3,3,3,3,0,1
1734,3,3,3,6,5,3,3,4,3,3,6,1,5,5,4,8,0,3,3,3,3,0,0
2327,3,3,3,8,5,3,3,4,3,1,1,1,3,5,3,8,0,2,3,3,3,0,0
1282,4,3,2,6,6,3,3,3,3,4,6,2,3,5,3,8,0,2,3,3,3,0,0
2688,4,3,3,4,5,3,3,3,3,3,5,1,3,5,3,8,0,1,3,3,3,0,0
2581,3,3,3,5,6,3,3,3,3,1,4,1,3,5,4,7,2,1,3,3,3,0,3
2067,4,3,3,5,7,3,4,3,3,1,1,1,5,5,4,8,0,1,3,3,1,0,0
2115,3,3,3,7,5,4,3,4,3,1,6,2,5,5,4,8,3,2,3,3,3,0,4
754,4,3,3,5,1,3,3,3,2,1,1,1,3,5,3,2,0,0,0,0,3,0,0
1079,4,3,3,7,5,4,3,4,3,1,6,1,5,5,4,8,0,2,3,3,3,0,0
2615,3,3,3,5,7,3,3,3,3,1,6,1,3,4,3,8,0,1,3,3,3,0,0
329,4,3,3,5,3,3,3,4,3,1,3,4,3,5,3,8,0,1,3,3,3,0,0
1320,4,3,3,7,7,3,3,3,3,1,1,1,3,5,3,8,4,1,3,3,3,0,0
416,4,3,3,6,6,3,3,3,3,1,5,1,3,5,3,8,3,1,3,3,3,0,0
284,4,3,3,4,4,3,2,4,3,1,4,1,2,4,2,8,0,1,3,3,3,0,3
1385,3,3,3,5,5,3,3,4,3,3,2,5,3,5,3,8,0,1,3,3,3,0,0
275,4,3,3,5,6,3,4,2,3,1,1,1,5,5,3,8,0,1,3,3,3,0,3
2024,4,3,3,6,7,3,4,3,3,1,1,1,5,5,4,8,0,1,3,3,2,0,0
68,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,8,0,2,3,3,3,0,0
1910,4,3,3,5,7,3,3,3,3,1,2,1,5,5,4,8,4,1,3,3,3,0,0
381,3,3,3,7,5,3,3,4,3,1,5,1,3,5,3,8,3,2,3,3,3,0,0
1323,4,3,3,7,7,3,3,3,3,2,1,1,4,5,3,8,4,1,3,2,3,0,0
2432,3,3,3,6,5,4,3,4,3,1,6,1,5,5,4,8,4,3,3,3,3,0,0
777,4,3,3,5,5,3,3,3,3,1,2,4,3,5,3,8,1,1,3,3,3,0,0
1107,4,3,3,7,5,4,3,4,3,4,6,1,5,5,4,8,3,2,3,3,3,0,0
30,4,3,3,6,5,3,3,3,3,1,3,1,3,5,3,8,0,1,3,3,3,0,0
282,4,3,3,4,5,3,3,4,3,1,1,1,5,5,3,8,0,2,3,3,3,0,0
188,4,3,3,6,7,3,3,3,3,1,6,1,3,4,3,8,0,1,3,3,3,0,3
2356,4,3,3,5,6,3,3,4,3,1,5,1,5,5,3,8,0,2,3,3,3,0,3
1554,4,3,2,1,5,2,1,0,0,0,0,0,1,4,2,1,0,1,2,1,1,0,0
1464,4,3,3,7,5,4,3,4,3,1,6,1,5,5,4,8,0,2,3,3,3,0,0
2469,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,8,3,1,3,3,3,0,0
1834,4,3,3,8,5,4,3,4,3,1,6,1,5,5,4,8,3,3,3,3,3,0,0
1779,3,3,3,8,5,4,3,4,3,4,6,1,5,5,4,8,0,1,3,3,3,0,0
2569,4,3,3,7,6,3,3,3,3,1,3,1,5,5,4,8,4,3,3,3,3,0,4
2334,3,3,3,8,5,5,3,5,4,1,1,1,5,5,5,8,4,3,3,3,3,0,0
2330,3,3,3,9,5,4,5,5,3,4,6,1,5,5,5,8,4,3,3,3,3,0,0
2119,3,3,1,8,6,4,3,4,4,4,2,6,5,5,4,8,2,3,3,3,3,0,0
988,3,3,2,6,5,3,3,3,3,4,5,1,3,5,4,8,3,2,3,3,3,0,0
382,4,3,3,7,5,3,3,4,3,1,1,1,3,5,3,8,3,2,3,3,3,0,3
670,4,3,3,5,5,3,3,3,3,1,2,1,3,5,3,8,0,1,3,3,3,0,0
2760,4,3,3,8,5,4,3,5,3,4,6,1,5,5,5,8,0,3,3,3,3,0,0
543,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,8,0,2,3,3,3,0,0
2835,4,3,3,6,3,3,2,2,2,1,1,1,3,3,3,8,0,1,3,3,1,0,4
1735,3,3,3,7,5,4,3,4,3,3,1,1,5,5,4,8,4,3,3,3,3,0,0
448,4,3,3,10,5,5,3,5,3,4,6,1,5,5,5,8,5,3,3,3,3,0,0
2287,4,3,3,4,5,3,3,4,3,3,6,1,3,5,3,8,0,3,3,3,3,0,0
524,4,3,3,10,5,5,3,5,3,3,6,1,5,5,5,8,5,3,3,3,3,0,0
1767,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,8,3,3,3,3,3,0,0
2206,4,3,3,7,5,3,4,3,3,1,3,1,4,5,3,8,4,1,3,3,3,0,3
1740,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,8,0,3,3,3,3,0,0
199,4,3,3,5,7,3,3,3,2,1,3,1,4,5,3,8,0,3,3,3,2,0,0
2214,3,3,3,6,6,3,3,4,3,1,4,1,3,4,3,8,4,1,3,3,1,0,0
323,4,3,3,5,5,3,3,3,3,1,3,1,3,5,3,8,3,1,3,3,3,0,0
2421,4,3,3,7,5,4,3,4,3,4,1,1,5,5,4,8,3,3,3,3,3,0,0
952,4,3,3,6,7,3,3,4,3,3,6,2,3,5,3,8,2,2,3,3,3,0,2
24,3,3,3,6,7,3,3,3,3,1,5,1,5,5,3,8,3,3,3,3,3,0,0
1139,4,3,3,7,5,4,3,4,3,2,1,1,5,5,4,8,0,3,3,3,3,0,0
518,3,3,3,7,5,4,3,5,3,1,1,1,5,5,4,8,0,3,3,3,3,0,0
1390,4,3,3,5,8,3,4,3,3,1,6,1,5,5,4,8,0,3,3,3,3,0,0
277,3,3,3,5,6,3,3,4,3,4,5,1,3,5,3,8,0,2,3,3,3,0,3
54,4,3,3,8,5,4,3,4,3,1,6,1,5,5,4,8,3,3,3,3,3,0,0
649,4,3,3,5,8,4,3,3,3,1,6,1,4,5,4,8,0,1,3,3,3,0,3
2600,4,3,3,4,8,3,4,2,2,1,1,1,5,5,2,8,0,1,2,3,3,0,0
617,4,3,3,6,4,3,3,3,3,1,4,1,5,5,3,8,3,2,3,3,3,0,0
2209,4,3,3,5,7,3,4,2,2,1,1,1,5,5,2,8,4,1,2,3,3,0,3
2814,4,3,3,6,5,3,3,4,3,1,1,1,5,5,4,8,0,2,3,3,3,0,0
2542,3,3,3,5,6,3,3,3,3,1,3,1,3,5,3,8,0,1,3,3,3,0,0
2323,3,3,3,8,5,4,3,4,3,1,1,1,5,5,4,8,0,3,3,3,3,0,0
1393,4,3,3,6,7,3,3,4,3,4,4,5,4,5,3,8,4,2,3,3,3,0,0
490,4,3,3,7,5,3,3,4,3,1,1,1,5,5,3,8,3,2,3,3,3,0,0
542,4,3,3,5,5,3,3,4,3,1,6,1,5,5,4,8,0,1,3,3,3,0,0
973,4,3,3,6,5,3,3,5,3,1,6,1,5,5,3,8,0,3,3,3,3,0,0
1012,3,3,3,9,5,4,3,4,4,1,1,1,5,5,5,8,4,3,3,3,3,0,0
2218,3,3,3,5,5,3,3,3,2,1,2,1,5,5,3,8,0,1,3,3,3,0,3
2033,4,3,3,6,6,3,3,3,3,1,4,1,2,5,3,8,4,1,3,3,3,0,0
1071,4,3,3,9,5,5,3,5,3,1,6,1,5,5,5,8,4,3,3,3,3,0,0
1583,4,3,3,6,5,4,3,4,3,3,6,1,5,5,4,8,2,2,3,3,3,0,0
2858,3,3,3,7,5,3,3,3,4,1,5,1,4,5,4,8,4,1,3,3,3,0,0
2265,4,3,3,7,7,3,3,4,3,1,5,4,4,5,4,8,0,1,3,3,3,0,0
1088,3,3,3,7,5,4,3,4,3,4,6,1,5,5,4,8,0,3,3,3,3,0,0
698,4,3,3,5,8,4,3,3,3,1,1,1,5,5,3,8,0,0,0,0,1,0,0
1896,4,3,3,6,7,3,4,3,3,2,5,1,4,5,4,8,4,2,3,3,3,0,0
628,4,3,3,6,6,3,4,4,3,1,3,1,3,5,4,8,4,3,3,3,3,0,0
1212,4,3,3,6,7,3,3,4,3,1,3,1,5,5,3,8,0,2,3,4,3,0,3
2864,3,3,3,7,7,4,4,3,3,1,5,1,5,4,3,8,4,1,3,3,3,0,0
2740,4,3,3,5,6,3,3,0,0,0,0,0,4,5,3,8,5,2,3,3,3,0,0
2560,4,3,3,5,6,3,4,3,3,2,2,1,5,5,3,7,4,2,3,3,3,0,3
1716,3,3,3,6,5,4,3,4,3,3,5,1,5,5,4,8,4,2,3,3,3,0,0
1130,4,3,3,7,5,4,3,4,3,1,6,1,5,5,4,8,0,3,3,3,3,0,0
201,4,3,3,6,5,3,3,2,2,1,5,1,3,5,3,8,4,1,3,3,3,0,0
2886,3,3,2,6,6,3,3,4,3,4,6,1,3,5,2,8,3,3,3,3,3,0,0
2328,3,3,3,7,7,4,4,4,4,1,6,3,4,5,4,8,3,2,4,3,3,0,0
2583,4,3,3,6,8,3,4,3,3,1,5,1,5,5,4,8,0,2,3,3,3,0,0
1206,3,3,3,4,6,3,3,3,3,1,3,1,5,5,3,8,0,1,3,3,3,0,0
2242,4,3,3,2,4,3,3,0,0,0,0,0,5,5,3,3,0,1,3,2,1,0,0
1105,3,3,3,8,7,4,3,4,3,3,1,1,5,5,4,8,3,2,3,3,3,0,0
121,4,3,3,5,5,3,3,4,3,1,4,1,4,5,3,8,0,2,3,3,3,0,0
1223,3,3,2,4,7,3,3,3,3,1,3,1,3,5,3,8,0,1,2,3,3,0,0
265,4,3,3,8,5,4,3,4,3,3,6,1,5,5,4,8,3,2,3,3,3,0,3
2813,4,3,3,7,5,4,3,4,3,2,6,1,5,5,4,8,0,1,3,3,3,0,0
1294,4,3,3,4,6,3,4,3,3,1,1,1,4,4,3,5,0,1,3,3,3,0,0
2745,4,3,3,5,5,3,3,0,0,0,0,0,4,5,3,6,4,0,0,0,1,0,0
1094,3,3,3,7,5,4,3,4,3,3,6,1,5,5,3,8,3,2,3,3,3,0,0
651,3,3,2,3,5,3,3,2,3,2,4,1,3,5,3,8,0,1,2,2,3,0,0
198,4,3,3,6,7,3,3,3,3,1,3,1,3,5,3,8,0,1,3,3,2,0,0
131,3,3,3,3,2,3,1,3,3,1,1,1,5,5,2,5,0,0,0,0,3,0,2
1258,4,3,3,4,7,4,3,3,3,1,1,1,4,5,3,8,0,1,3,3,1,0,0
1599,3,3,3,5,6,3,4,3,3,1,5,1,5,5,4,8,0,1,3,3,3,0,2
1508,4,3,2,4,5,3,3,4,3,1,3,1,3,5,3,8,0,2,3,3,3,0,3
615,4,3,3,4,7,2,3,3,3,1,2,1,4,5,2,8,0,0,0,0,3,0,0
1815,4,3,3,6,5,4,3,4,3,1,6,1,4,5,4,8,0,2,3,3,3,0,0
2712,4,3,3,5,6,3,3,3,3,1,5,1,4,5,3,8,0,3,3,3,3,0,2
2051,4,3,3,4,3,3,3,3,3,1,3,2,3,5,3,8,0,1,3,3,1,0,3
1863,4,3,3,7,5,4,3,4,3,1,6,1,5,5,4,8,3,3,3,3,3,0,0
2510,4,3,3,7,5,4,3,4,3,1,1,1,5,5,4,8,0,2,3,3,3,0,0
1069,3,3,3,8,5,4,3,5,3,4,1,1,5,5,4,8,4,3,3,3,3,0,0
336,4,3,3,5,7,3,3,4,3,2,3,6,3,5,4,8,0,1,3,3,3,0,3
2417,3,3,3,6,5,4,3,4,3,1,1,1,4,5,3,8,0,2,3,3,3,0,0
1962,4,3,3,5,8,3,3,3,3,1,5,4,4,5,4,8,0,2,3,3,3,0,0
372,3,3,3,6,5,3,4,4,2,1,1,1,3,5,3,8,3,1,3,3,3,0,0
2578,4,3,3,5,6,3,3,3,3,3,4,3,5,5,3,8,3,2,3,3,3,0,3
2824,4,3,3,6,5,3,3,4,3,3,6,5,5,5,4,8,0,0,0,0,1,0,0
471,4,3,3,7,5,4,3,4,3,3,6,1,5,5,4,8,3,3,3,3,3,0,0
1544,4,3,3,6,6,3,4,4,3,1,2,6,3,5,3,8,3,3,3,3,3,0,4
2141,4,3,3,5,5,3,3,3,3,1,2,3,3,5,3,8,0,1,3,3,3,0,3
