,date,tweet
49,2020-08-30 21:45:17+00:00,remember when the power went out while I was watching veggietales and the US government had to memory hole the thousands of casualties that resulted from my downie berserker rage? love that memory
50,2020-08-30 21:28:30+00:00,MY POWER WENT OUT HOW THE FUCK AM I GONAN WATCH THE VMAS
51,2020-08-30 21:13:00+00:00,yo the power went out in the middle of my shower. that spooked me wtf
52,2020-08-30 21:05:05+00:00,So the power went out for a sec and my computer won’t turn on now. Um trying not to panic
53,2020-08-30 21:00:10+00:00,"Got your chainsaw! Really relieved to hear your house made it! When Irma went thru Florida from bottom to top my yard was knee deep in debris. Power out for days, couldn't even get ice! Florida knows what this is like, we haven't forgotten. Best to y'all "
54,2020-08-30 20:56:34+00:00,So my power went out. I watched a bird fly into a transformer and watched them both blow up
55,2020-08-30 20:33:11+00:00,My power went out but the thing is that it sounded like it exploded someone help
56,2020-08-30 20:27:29+00:00,It wasn’t even raining for 5 minutes before my power went out 
57,2020-08-30 20:10:08+00:00,before my power went out someone from B sniped A and after a while someone with the zoldyck ln was like imma be honest. it was me. i sniped them and then 2nd pull someone was like ok pls point lasers Out and then went i heard in (all of us proceed to say we Also heard in)
58,2020-08-30 20:09:32+00:00,My power went out for some reason. What do I do today.
59,2020-08-30 19:55:50+00:00,MY POWER WENT OUT NOOOO
60,2020-08-30 19:53:57+00:00,I'm gonna go cry now.... My power went out and I had a ugc concept in blender and my dumb self didn't save.... THIS IS WHY I LIKED HAVING A LAPTOP AT LEAST IT HAD A BATTERY TO SAVE ME FROM MY STUPIDITY
61,2020-08-30 19:50:59+00:00,Tfw I was rendering the 9S animation and it was like 99% done Then my power went out That was like two hours ago I could have posted it already 
62,2020-08-30 19:49:55+00:00,So power just went out for the entire block. I was livestreaming for the first time in months. So no recording going up either. ETA for restoration is six hours. There goes my Sunday.... 
63,2020-08-30 19:48:09+00:00,MY NEIGHBORHOOD POWER JUST WENT OUT AND IT APPARENTLY WONT BE BACK UNTIL 7:30 AND ITS 3:46 RN AND MY PHONE IS AT 18% 
64,2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
65,2020-08-30 19:31:52+00:00,all the power just went out in my house while i was watching little women 
66,2020-08-30 19:29:04+00:00,my power just went out tf
67,2020-08-30 19:20:52+00:00,MY POWER JUST WENT OUT AND MY PHONES AT TEN PERCENT
68,2020-08-30 19:09:15+00:00,Oh my god my last tweet was 10 hours ago I took a damn nap because our power went out and I SLEPT. FOR MAYBE 9 HOURS 
69,2020-08-30 18:49:23+00:00,My power went out for 2 seconds this morning so it's time for my PS4 to accuse me of unplugging it improperly
70,2020-08-30 18:37:57+00:00,"we’re staying at my grandma’s bc the power is out. it’s really hot, and our animals are there, but not hot enough to put them in harm’s way. today, my dad went there and fed them and put water down and put the windows up (the kind with the mesh in so the windows aren’t actually +"
71,2020-08-30 18:26:00+00:00,Yea I called them when my power went out and they didn’t do anything
72,2020-08-30 18:24:30+00:00,Sorry guys! My power went out. I'll be back up in a sec. 
73,2020-08-30 18:23:37+00:00,Man my power just went out recently so it was hard to see in the dark I would really appreciate that thanks
74,2020-08-30 18:17:17+00:00,I got this before because my power went out for not even 1 second. It honestly pissed me off because of how unfair that was
75,2020-08-30 18:12:26+00:00,"My fear is that at some point messaging will drive policy. Turkey may want to negotiate. Ankara Also wants to, and enjoys, posturing itself as a military power (and perhaps a conquering power). This tendency may went out in the end. "
76,2020-08-30 18:08:46+00:00,"Well my power just went out, only for a minute. Fingers crossed it doesn't happen again."
77,2020-08-30 18:02:49+00:00,You tweeted this almost at the exact same time my power went out last night
78,2020-08-30 17:59:39+00:00,Damn my power just went out like 4 times in a matter of like 2 minutes tf
79,2020-08-30 17:58:28+00:00,Went to finish up my weekend work annnnnd my fucking power goes out 
80,2020-08-30 17:46:27+00:00,"he is power, he was someone i admired deeply and even more so now knowing everything he went through. i’m in shock and my heart goes out to everyone who like me found strength in his character."
81,2020-08-30 17:41:46+00:00,"Found out yesterday that Lore went to see the Power Team in person back in Texas and I'm still falling off my chair laughing Not at her, but"
82,2020-08-30 17:34:08+00:00,My fucking power just went out. At 1030 AM. What and the fuck
83,2020-08-30 17:14:29+00:00,One hell of a stream last night. We had an earthquake during stream and then my power went out about 4 hours later causing me to end stream . Told you guys it would be a blast. After my power came back I checked our total. We raised $139.68. I love this community . Thank you!
84,2020-08-30 17:06:13+00:00,"(I totally meant to post these thoughts alongside my previous comments yesterday, but my power randomly went out and by the time it came back on I had to leave for work.)"
85,2020-08-18 19:48:41+00:00,Looking to adapt to change with greater agility? Read this guide to explore five key behaviors for IT leaders:
86,2020-08-30 17:01:09+00:00,My power went out so I cant watch the game go c's baby
87,2020-08-30 16:56:52+00:00,Our power just went out... I forgot they (SCE) had scheduled that! Now all my plans of laundry and chores are stymied ! I guess I’ll have to sit here and do nothing!
88,2020-08-30 16:56:45+00:00,sorry for literally disappearing my power went out at night 
89,2020-08-30 16:38:46+00:00,If your day is going bad just know I wiped with Clorox wipes cuz my power went out
90,2020-08-30 16:32:35+00:00,Power has been off and on all day..mostly off. Humidity and warm temps you feel like a sauna..went to buy few groceries and city was just waking up. Seems my second solar box is going out too. More than likely the battery which I have seen in shops. Guy still hasn't came to
91,2020-08-30 16:27:46+00:00,"Bro mad love dude! my fucking internet went out right now, because of a “power outage” you made my ass nervous as fuck jumping in like that haha you’re the GOAT man! "
92,2020-08-30 16:21:21+00:00,"...went through tough times with my teenagers realizing logic or reason couldn’t fix anything and there’s a bigger power and plan at work. Husband found ‘Out of Shadows’ and we watched together, then I started following Q, then 2020 happened..."
93,2020-08-30 16:18:56+00:00,"yes, im making an analysis vid for techno too. Dreams was easier to do because we only played for like 25 minutes until my power went out."
94,2020-08-30 16:17:59+00:00,Lmao last night the power went out for like 5 minutes y’all think they’ll give me a refund on my rent????? It was extremely unsafe 
95,2020-08-30 16:14:16+00:00,I AM EVEN THO MY ASTHMA WAS REALLY REALLY BAD SINCE IT'S SO HOT BUT! THE POWER WENT OUT AGAIN A MINUTE AFTER I TWEETED THAT SO I AM GOING TO DIE ˚‧º·(˚ ˃̣̣̥⌓˂̣̣̥ )‧º·˚
96,2020-08-30 16:07:59+00:00,"My area went without power for almost two days. Some still won’t get it until September 2nd, way too long for this time of year in La. my heart goes out to them."
97,2020-08-30 15:58:52+00:00,"yknow i started ep 1 ln, got distracted for three hours, then my power went out! can't be held accountable sjsjdjjd"
98,2020-08-30 15:45:53+00:00,"You too! Those were the days dude. Me and my boy Metal Zack (I think you guys called him that) reminisce about when the power went out that night against the Wild, you screamed about how the ghost of Rico Fata had seen enough and turned all the lights off."
99,2020-08-30 15:43:38+00:00,The power went out in the middle of my night sometime... I vaguely remember roaming around through the house bc I was hot I feel it now.
100,2020-08-30 15:21:38+00:00,My power went out before I could flip my omelette
101,2020-08-30 15:14:16+00:00,"Right at the MOST scary part of the FINALE... I was watching around 11pm... ALL of the power on my block went out for about 2 minutes. On a perfectly clear, no-weather night... creepiest thing ever :)"
102,2020-08-30 15:10:36+00:00,I got some the other day and my order was free because the power went out 
103,2020-08-30 15:01:08+00:00,Power went out halfway through my coffee brewing BUT AT LEAST I HAVE THIS FIRST HALF TO SIP ON AYY
104,2020-08-30 14:58:43+00:00,i asked my mum if we had an electric whisk and she said yes. she handed me an electric blender. also the power went out so the oven turned off. it's almost like i should be doing my work instead of baking.
105,2020-08-30 14:33:04+00:00,my power just went out 
106,2020-08-18 19:48:57+00:00,How can you build stronger business continuity through fresh insights? Check out our guide:
107,2020-08-30 14:18:01+00:00,"I take time off from work...to work...only to get hit by a power blink (thank god for a UPS) aaaand Uverse went down with it....now let's see if work figures out I'm using my work phone hotspot, lol "
108,2020-08-30 14:05:50+00:00,Not a drop of water falling but my power went out for hrs.... 
109,2020-08-30 14:00:31+00:00,my power went out 
110,2020-08-30 14:00:30+00:00,"My two biggest take aways after watching Hamilton: 1.) Shout out for ruining ""must be nice"" forever. I use the phrase daily and now I can't without thinking about gd George Washington. 2.) That Rob Riggle, Jimmy G spot from 4 years ago went from hilarious to legendary."
111,2020-08-30 13:57:48+00:00,the power went out last night and we used my neobong because it had a stronger light than two of our flashlights 
112,2020-08-30 13:57:17+00:00,Cool so my wifi went out AGAIN.
113,2020-08-30 13:50:16+00:00,MY STORES POWER WENT OUT LMAOOOOO 
114,2020-08-30 13:50:05+00:00,Pls man my no joke my power went out when it was the time the avatar dropped 8:00pm in south africa and I would have got one but na. 
115,2020-08-30 13:46:35+00:00,asking for an extension on the grounds of 'my power went out' 'not having clean drinking water stressed me the fuck out' 'im stressed in general can i have more time'
116,2020-08-30 13:40:25+00:00,My power went out about 5 times last night. They must be testing the future rolling blackouts.
117,2020-08-30 13:39:36+00:00,@KreekCraft oh no my power went out and I don’t think it will come back on that means I might not be able to wacth you stream
118,2020-08-30 13:32:56+00:00,You must not have seen the shorter video that followed! For me sirens went off in distance.. but not ours plus. Got dark as night. My cue to get cats in basement. Before power out TV showed the most massive red radar I've ever seen &amp; weather guy said 80 to 100 mph winds coming.
119,2020-08-30 13:23:06+00:00,my power went out right after caratland ended you can't tell me this isn't fate
120,2020-08-30 13:10:49+00:00,So apparently the power went out in my complex and now ppl can’t get through the gate 
121,2020-08-30 13:05:58+00:00,Power went out multiple times last night screwing up my sleep and now I can't even play a simple game of @EAMaddenNFL because the servers keep going down. Happy birthday to me.
122,2020-08-30 12:51:02+00:00,I managed to convince myself out of my last relationship after I tolerated his cheating and cold character when I went over and he had a girls bra under his pillow and a dress I used for cleaning and ashing my cigs from.Def gave me power to get over him after I collected my pride
123,2020-08-30 12:40:22+00:00,The power just went out at my job why did these negros start screaming
124,2020-08-30 12:38:03+00:00,Bro so I took my dog to get shaved yesterday cuz bro was mad fucking matted. Tell me why these niggas call me talkin bout the power went out and couldn’t finish him. I AM CRYING 
125,2020-08-30 12:36:34+00:00,"When my power went out last night they said it would be on by 9:30 pm, then changed it 10:30, then 12:30,, then to 4, and then they came out at 7:09 a.m. Moral of the story: People are liars"
126,2020-08-30 12:30:38+00:00,THE POWER WENT OUT TODAY AND PEOPLE IN MY CITY WENT TO THE BEACH WITHOUT MASKS I--
127,2020-08-18 19:48:57+00:00,How can you build stronger business continuity through fresh insights? Check out our guide:
128,2020-08-30 12:06:26+00:00,Bro the power went out and my apt is so fricken hot all I wanted was to sleep in 
129,2020-08-30 12:00:58+00:00,my power is out and i just went grocery shopping and the power isn’t supposed to come back on till 11 I HATE EVERYTHING x2
130,2020-08-30 11:53:02+00:00,Also. I didn’t make coffee before the power went out. And I don’t know how to open my garage door without power... #CaffeineHeadache #Trapped
131,2020-08-30 11:37:39+00:00,"So, now that I am sober I am able to speak on this. Last night was a live stream of @themaine. I will be honest I went into it thinking “oh it just won’t be the same.” I was right, it wasn’t. But, I was still amazing. Some how the power that is @8123 reach out of my tv like a...."
132,2020-08-30 11:30:20+00:00,Oh I thought it was just me apparently it’s happening to everyone I kept having to power off my phone and I had to delete roblox and install it back up and it worked but when I went inside the game it either kept freezing or kicking me out and it’s saying my network is off
133,2020-08-30 11:30:01+00:00,"Just heard a radio head say sarcastically ""what is all these NBA players just went out and did something in their own communities"" I'm in my mind is like, ""you'd still be mad"" Your upset at their power and how they're using it. How is proposing giving them less power????"
134,2020-08-30 11:29:15+00:00,ok so my power went out yesterday my the baddest spam was stopped by a storm i'm sorry to have failed you
135,2020-08-30 11:07:16+00:00,Was having a fun small stream and then boom power went out lol just my luck
136,2020-08-30 11:00:17+00:00,"13th feb 2018 i went to go see #BlackPanther with my #BlackLivesMatter t shirt , black bandana all blacked out . I was so excited a movie for US . Man this hit me differently rest in power #ChadwickForever i am still crying randomly "
137,2020-08-30 10:42:05+00:00,Power went out again This time I actually turned off the valves so my tank SHOULDN'T overflow 
138,2020-08-30 10:21:17+00:00,MY FUKING POWER WENT OUT WTF WTF WTF
139,2020-08-30 10:17:59+00:00,The power just went out so my internet died so now we’re watxhing the stream using my phone hotspot e___e 
140,2020-08-30 09:35:46+00:00,what did i miss? the power in my town went out from 6am :((
141,2020-08-30 09:27:59+00:00,Ok so l put frozen peas in the microwave and a minute later l got my peas and took a MASSIVE bite out of it and then l spit it out as fast as possible to find out the POWER WENT OUT so l just took a massive bite out of frozen peas.............
142,2020-08-30 09:09:18+00:00,"Regardless there needs to be a loss forgiveness system, like me and my friends literally just dropped probably 3 hours worth of grinding cuz our teammates power went out mid-winning game. Theres legit 0 reason there shouldn't be a loss forgiveness system its pretty infuriating"
143,2020-08-30 08:55:37+00:00,Sarah really went out and asked her date she just met to take a pic of her.... her power... This for you qwwen @tbvhanis
144,2020-08-30 08:47:02+00:00,"woke up in the middle of the night bcz power went out, made eye contact with a girl in my bed and went back to sleeping thinking it was my cousin. Talked to her abt it in the morning and she said she didn't sleep in my bedroom that night "
145,2020-08-30 08:34:20+00:00,@ilyells could u tell slam my power went out but i’m loading back in
146,2020-08-30 08:30:48+00:00,And now my power went out....joy #undeadwolf420 #undeadwolf #twitch #youtube #nerds #nerd #geek #geeks #gamer #quarantine #corona #gamerdad #poweroutage #storm #ugh https://www.instagram.com/p/CEgb7Mehe09/?igshid=c49l9b7z8sf5
147,2020-08-30 08:01:23+00:00,I ALMOST BEAT @BraeburnSotP IN STARCRAFT BUT MY POWER WENT OUT. CANT HAVE SHIT IN DETROIT
148,2020-08-18 19:48:57+00:00,How can you build stronger business continuity through fresh insights? Check out our guide:
149,2020-08-30 07:55:34+00:00,Massive thank you to the @NHSVolResponder team have had to run around for me 4 times so far power went while away so completely defrosted my freezer and couldn’t get out for my meds either so have been a life saver while I’m on my two week house arrest for going to France 
150,2020-08-30 07:42:01+00:00,my power really just went out at 3:30am for no apparent reason
151,2020-08-30 07:39:43+00:00,I just woke up hot asf to find out the fucking power went out in my neighborhood AGAIN. Smh they need to fix this shit it’s too mf hot. I was knocked tf out too.
152,2020-08-30 07:36:58+00:00,MY POWER WENT OUT I WAS SCARED AF LMAOOO
153,2020-08-30 07:36:12+00:00,When the power went out my upstairs neighbors screamed and ran outside 
154,2020-08-30 07:31:51+00:00,Probably gonna work on the back a bit more before I call it finished but my power went out 
155,2020-08-30 07:30:50+00:00,bye wtf my power just went out for like 3 seconds
156,2020-08-30 07:22:19+00:00,bro my power went out like an hour ago bc of thunder
157,2020-08-30 07:22:08+00:00,"@McDonalds power went out at your East point, GA store after I paid, will I be able to get a refund? power has been out since 2:55am. I do still have my receipt :)"
158,2020-08-30 07:22:06+00:00,My power just went out ???? Awesome cool great. Also what in the goddamn fuck
159,2020-08-30 07:17:33+00:00,This the second time my power went out this week I’m over it
160,2020-08-30 07:14:59+00:00,"CW: Spiders Had a power outage, went to take the dog out before going to bed, found a black widow. Oh, then she disappeared when I went to look at her again. So that's... something. Also shitty picture quality because I had to rely on my phone camera in total darkness. "
161,2020-08-30 06:57:02+00:00,INJIST REALIZED THAT MY POWER WENT OUT I-
162,2020-08-30 06:55:24+00:00,"for Katrina, we evac'd to Auburn, lost power at the motel so they kicked us out, so we went to my b-i-l's family in Morgan City, and I went to a Walmart and got a 1200 free hours AOL disc so I could get online and get info/communicate"
163,2020-08-30 06:55:13+00:00,Oh fuck nall the power just went out and my phone on 6%
164,2020-08-30 06:55:04+00:00,/ my power just went out skjfbsoejbnfosef
165,2020-08-30 06:46:11+00:00,"Ok so one time i was working a flight, we were flying through a storm and the generator went out. The power going out on a plane feels like a death sentence. I just turned my flashlight on and kept pouring Diet Coke and thought “I’m just gonna play this violin til the ship sinks”"
166,2020-08-30 06:44:33+00:00,Power just went out near me. I’m at my grandparents and heard a loud bang and all our electricity went out.
167,2020-08-30 06:31:23+00:00,"My power went out @1:30AM this morning.on August 30th, 2020. So no stream tonight. Sorry everyone."
168,2020-08-30 06:26:50+00:00,yeah power went out at my place for the duration of the whole bracket lmao.
169,2020-08-18 19:48:57+00:00,How can you build stronger business continuity through fresh insights? Check out our guide:
170,2020-08-30 06:25:34+00:00,"@SMITEGame my power just went out, if it comes back on soon and i have a 4 hour ban I'm going to fight someone."
171,2020-08-30 06:20:51+00:00,my power went out 
172,2020-08-30 06:15:15+00:00,Hey friends my power went out! I will be continuing our charity stream on another day! Not unless you wanna hang out in the dark 
173,2020-08-30 06:07:17+00:00,the fucking power just went out and my phone is on 3% AWEEE FUCK ME BITCHHHH
174,2020-08-30 06:00:22+00:00,my power just went out@cuz storm 
175,2020-08-30 05:54:19+00:00,Right when I dozed off the power went out &amp; my eyes popped right open! It’s too quiet
176,2020-08-30 05:52:13+00:00,the power just went out on my whole ass STREET i’m
177,2020-08-30 05:49:49+00:00,I was mid Minecraft when my power went out it was v upsetting
178,2020-08-30 05:45:45+00:00,Power went out while I was playing and now my Xbox is fucked up
179,2020-08-30 05:45:35+00:00,I’m late it’s not my fault my power went out
180,2020-08-30 05:43:38+00:00,MY POWER WENT OUT AT THAT EXACT MOMENT EARLIER IT WAS SUCH CLASSIC TIMING LMFAO
181,2020-08-30 05:43:20+00:00,"Yeah the power went out for about twenty minutes, then I had to finish my shift stuff."
182,2020-08-30 05:41:46+00:00,"Didn't sleep a wink Friday night, drove 3 hours early am yesterday to buy a car, (4 hour process), 3+ hours home, crashed out HARD asleep by probably 8:30, and by 9, our power went out. Now estimated for 6 am. It's HOT. My body weary. Thank you for coming to my TED talk."
183,2020-08-30 05:36:59+00:00,fuck my power went out tho
184,2020-08-30 05:36:44+00:00,you think you can hurt my feelings? my tent blew away and the power went out on my 16th birthday party. lmao
185,2020-08-30 05:34:25+00:00,i am so offended that my power just went out
186,2020-08-30 05:32:55+00:00,aint no way my power just randomly went out?
187,2020-08-30 05:31:00+00:00,Ye my power went out mid tournament on the 4th day during semis but I’m pretty sure kid don’t know how to stress but I’ll ask but from his words he didn’t
188,2020-08-30 05:27:48+00:00,The power at my parents went out like 5 hours ago due to the tornado that was like 10 minutes away from their house. BITCH the power is STILL out and I’m dying of this heat. 
189,2020-08-30 05:11:15+00:00,My power just went out...
190,2020-07-17 21:03:37+00:00,Renovating a bathroom doesn’t have to be a massive undertaking. #DiscoverPersonalLoans #ad https://www.realsimple.com/featured/ReviveABoringBathroomDiscoverPersonalLoans2020?sm_r=YABsRS
191,2020-08-30 04:58:06+00:00,my power went out for probably four hours and my phone died so me and jessie did a whole comedy special for netflix and then when i went to pee the power came back-
192,2020-08-30 04:52:19+00:00,My power went out I was working on my WIP... I can’t remember the last time I saved. My computers battery is damaged and doesn’t hold a charge. I’ll have to wait until power is restored before I know... WHY!!?? WHHHHYYYYY!!! #writingcommunity #writerscommunity
193,2020-08-30 04:52:02+00:00,My power went out fml
194,2020-08-30 04:47:34+00:00,The power went out at my house and I don’t know how I’m suppose to sleep with no ac or fan on 
195,2020-08-30 04:44:47+00:00,my power just went out and my phone is at 6%
196,2020-08-30 04:38:00+00:00,I was about to make a tweet asking for song suggestions but instead my power went out :D
197,2020-08-30 04:29:51+00:00,"i didnt had the chance to say goodnight and put is asleep on my dn cos the power went out, hate it sm &lt;/3"
198,2020-08-30 04:26:10+00:00,my power just went out this weather be scaring me o.o
199,2020-08-30 04:02:58+00:00,Its real girl I’m in Fort Worth and all of the power in my neighborhood just went out
200,2020-08-30 04:01:22+00:00,Ok so my power went out lol
201,2020-08-30 03:47:39+00:00,"bitch why my power went out cause i had the toaster, the microwave, both air conditioners and two tvs on. i had a heart attack. "
202,2020-08-30 03:40:47+00:00,Bro my power went out right after i put 15 diamonds in my enderchest on bed wars
203,2020-08-30 03:38:58+00:00,The power went out in my work so I’ve just been chillin in my truck watching ufc and nba 
204,2020-08-30 03:38:56+00:00,"Oh my god the power went out for a second meralco, not today!!!!"
205,2020-08-30 03:37:47+00:00,"The power went out earlier and it was very dark, no flashlights, phone on 2% fortunately there was a single remaining candle ... gonna need to do a restart on my night now."
206,2020-08-30 03:28:36+00:00,"Still no power. Slept about 2 restless, non-consecutive hours. Thankfully my brother went out to get us food. Took a cold shower for the first time in a long time before coming in. The last time was probably in Iraq. Almost didn't bother coming into work, but decided to anyways."
207,2020-08-30 03:19:07+00:00,I can't believe my power Went out the last night I was in my old apartment
208,2020-08-30 03:18:51+00:00,"I missed you,” he said quietly, his gaze darting between her mouth and eyes. “When I was in Wendlyn. I lied when I said I didn’t. From the moment you left, I missed you so much I went out of my mind. I was glad for the excuse to track Lorcan here, just to see you again."
209,2020-08-30 03:10:08+00:00,@eerosupport my power went out and is back on but my eero won’t work plz help
210,2020-08-30 03:04:59+00:00,Well my power just went out so I think instead I shall be passing away
211,2020-08-18 19:48:41+00:00,Looking to adapt to change with greater agility? Read this guide to explore five key behaviors for IT leaders:
212,2020-08-30 03:04:57+00:00,okay so my dad helped me disassemble the dvd player and took the disc out but the power in the hse went out 3 times drg the process 
213,2020-08-30 03:03:53+00:00,what i would give to go back to that one summer night where i went to the movie theatre with my friends and it was dark when we got out and we sat on a huge power box waiting for our parents and felt the cold summer breeze laughing about stupid immature stuff and gossiping 
214,2020-08-30 02:48:40+00:00,my power just went out and i’ve been watching crime shows all night someone pls send help 
215,2020-08-30 02:31:47+00:00,Was driven outta my home bc power went out and is so hot I can't breathe 
216,2020-08-30 02:28:14+00:00,And now the power went out in my neighborhood 
217,2020-08-30 02:17:35+00:00,This caught my eye because around 11 pm New Year’s Eve our power went out ... for 2 days! That was how my 2020 year started! In the dark... using my phone data- it was an omen!
218,2020-08-30 02:14:12+00:00,Power went out at my job and we been bullshitting for like the past 2 hours... just send us home bruh
219,2020-08-30 02:04:26+00:00,Had my ten year high school reunion that day...the venue we rented out lost power so went to a house and partied by candlelight. Literally felt like being in highschool again.
220,2020-08-30 02:03:12+00:00,THE POWER IN MY HOUSE WENT OUT FOR A SECOND I THINK I FELT A SHOCK IN MY HEART??????
221,2020-08-30 02:02:37+00:00,power went out bc of this storm while i was about to take my bio quiz...maybe this is a sign that i need to write my jeongsung and chanjeong fics 
222,2020-08-30 01:59:54+00:00,"I had pain in my power back in July literally knock me to the ground and keep me from finishing my workout. When I went to the doctor, I was told insurance wouldn't cover an MRI without ""red flags"" like loss of bowel control. That's over $1700 out of pocket after my deductible "
