Id,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Area,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Overall Qual,Exter Qual,Bsmt Qual,Kitchen Qual,Year Built,Full Bath,TotRms AbvGrd,Garage Cars,Grla_tbsf,ovl_ext,ovl_area
2383,2076.0,2076,2076,850.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5,5,5,2006,2,7,3.0,4309776.0,50,20760
983,1097.0,1110,1110,602.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,4,1978,1,4,2.0,1217670.0,15,5550
1325,1050.0,1050,1795,352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,3,1954,2,7,1.0,1884750.0,15,8975
1378,1040.0,1040,1040,384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,3,3,1965,1,5,1.0,1081600.0,15,5200
1537,608.0,983,1873,786.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,1935,1,9,2.0,1138784.0,24,14984
905,984.0,984,1604,660.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1941,2,6,2.0,1578336.0,15,8020
1532,776.0,851,1502,270.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,3,1931,1,6,1.0,1165552.0,21,10514
132,1056.0,1063,1063,280.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1954,1,6,1.0,1122528.0,15,5315
1078,764.0,764,1626,474.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4,4,4,2003,2,6,2.0,1242264.0,28,11382
2511,756.0,768,1524,440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,4,4,2000,2,4,2.0,1152144.0,24,9144
912,1122.0,1328,1981,576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,4,1928,2,7,2.0,2222682.0,12,7924
2351,1392.0,1392,2784,564.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,3,4,4,1978,3,12,2.0,3875328.0,21,19488
330,546.0,546,1092,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,1970,1,5,0.0,596232.0,12,4368
2586,216.0,1575,1575,400.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,1951,1,5,2.0,340200.0,18,9450
224,663.0,663,1352,299.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,3,3,1969,1,7,1.0,896376.0,18,8112
98,600.0,600,1200,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,4,4,4,2004,2,4,2.0,720000.0,28,8400
2565,936.0,936,936,240.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1954,1,5,1.0,876096.0,15,4680
1934,1040.0,1040,1040,293.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,1953,1,6,1.0,1081600.0,18,6240
997,916.0,916,1636,386.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,1996,2,7,2.0,1498576.0,18,9816
64,1152.0,1164,2270,671.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,4,4,4,1999,2,9,3.0,2615040.0,32,18160
1799,1184.0,1184,2610,550.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4,4,5,2007,2,11,2.0,3090240.0,32,20880
230,1420.0,1483,1483,690.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,3,1977,1,4,2.0,2105860.0,28,10381
1295,936.0,960,1740,225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,3,5,1920,1,6,1.0,1628640.0,10,8700
638,1382.0,1382,1382,350.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,1955,1,6,1.0,1909924.0,15,6910
2278,1120.0,1120,1120,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,2007,1,6,0.0,1254400.0,15,5600
2202,531.0,567,1098,216.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,3,1930,1,5,1.0,583038.0,21,7686
2833,976.0,976,1708,380.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,2004,2,7,2.0,1667008.0,28,11956
1707,1802.0,1802,1802,843.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,5,5,5,2006,2,7,3.0,3247204.0,45,16218
2428,1362.0,1506,1506,440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,2005,2,6,2.0,2051172.0,28,10542
242,1508.0,1508,1508,572.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,2009,1,5,2.0,2274064.0,28,10556
1564,1840.0,2032,2032,786.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,4,1996,3,7,3.0,3738880.0,28,14224
2613,655.0,1194,1194,539.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,1959,1,6,2.0,782070.0,18,7164
2832,970.0,970,1709,380.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,2004,2,7,2.0,1657730.0,28,11963
2459,1616.0,1616,1616,834.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,4,4,4,2005,2,7,3.0,2611456.0,28,11312
1360,768.0,768,768,440.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,1930,1,4,2.0,589824.0,24,4608
2723,872.0,872,872,322.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,3,2,1924,1,5,1.0,760384.0,15,4360
1350,520.0,520,520,240.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,1927,1,4,1.0,270400.0,12,2080
136,1105.0,1105,2274,480.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1960,2,12,2.0,2512770.0,15,11370
2235,936.0,936,1601,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,1925,2,6,0.0,1498536.0,20,8005
1993,616.0,616,1232,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,3,1910,1,6,2.0,758912.0,15,6160
367,2216.0,2234,2234,1166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,5,5,5,2008,2,9,3.0,4950544.0,45,20106
1309,876.0,876,1416,720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,3,1915,1,7,3.0,1240416.0,15,7080
402,864.0,864,864,576.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,1971,1,5,2.0,746496.0,12,3456
1592,1189.0,1189,1189,392.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,3,1997,2,4,2.0,1413721.0,18,7134
2409,1666.0,1666,1666,575.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,5,5,4,2006,2,6,2.0,2775556.0,45,14994
539,1176.0,1200,1200,555.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,4,4,2003,2,5,2.0,1411200.0,28,8400
1940,928.0,928,928,252.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,1956,1,4,1.0,861184.0,15,4640
588,1288.0,1336,1336,502.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,4,3,1969,2,6,2.0,1720768.0,15,6680
96,600.0,600,1200,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,4,4,4,2004,2,4,2.0,720000.0,28,8400
1187,1427.0,1427,1427,516.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,3,3,1969,2,7,2.0,2036329.0,18,8562
2154,860.0,1212,1992,608.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,1996,2,7,2.0,1713120.0,28,13944
550,754.0,754,1540,495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,4,4,1994,2,6,2.0,1161160.0,28,10780
811,0.0,1535,1535,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0,3,1979,2,8,2.0,0.0,15,7675
124,1152.0,1152,1152,484.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1964,1,6,2.0,1327104.0,15,5760
1836,1141.0,1151,1151,484.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4,4,4,2006,2,5,2.0,1313291.0,32,9208
779,1138.0,1138,1138,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,3,3,1960,1,6,2.0,1295044.0,18,6828
1886,894.0,1074,1074,396.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,1956,1,6,2.0,960156.0,15,5370
1724,1561.0,1561,1561,556.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,5,5,5,2005,2,6,2.0,2436721.0,45,14049
2450,1342.0,1358,2726,725.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,4,4,4,1995,2,9,3.0,3658292.0,32,21808
1013,1884.0,1884,1884,670.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,5,5,5,2004,2,7,3.0,3549456.0,45,16956
2084,528.0,605,605,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,1920,1,5,0.0,319440.0,12,2420
1184,1426.0,1671,1671,550.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,5,4,5,1976,3,6,2.0,2382846.0,40,13368
728,245.0,797,797,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,1900,1,5,0.0,195265.0,9,2391
950,804.0,804,1961,560.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,4,2001,2,7,2.0,1576644.0,18,11766
2524,1153.0,1193,1193,501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,4,3,1972,2,6,2.0,1375529.0,15,5965
2513,673.0,673,1382,490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,4,4,4,2000,2,6,2.0,930086.0,28,9674
2028,714.0,1664,2526,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,3,4,1916,2,10,1.0,1803564.0,18,15156
2309,1705.0,1390,1390,550.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,5,1957,1,4,2.0,2369950.0,18,8340
51,764.0,764,1626,474.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4,4,4,2003,2,6,2.0,1242264.0,28,11382
699,690.0,868,1558,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,3,1939,1,7,2.0,1075020.0,15,7790
1881,978.0,1422,1422,286.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1960,1,6,1.0,1390716.0,15,7110
1345,1078.0,1128,1573,360.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1930,2,8,2.0,1695694.0,15,7865
166,1116.0,1116,1116,440.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,1962,1,5,2.0,1245456.0,18,6696
781,0.0,660,660,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,2,1947,1,5,0.0,0.0,6,1320
379,1140.0,1707,1707,479.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,3,3,1978,2,7,2.0,1945980.0,18,10242
2818,1466.0,1466,1466,528.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,2,1959,1,6,2.0,2149156.0,15,7330
1168,1614.0,1638,1638,495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,4,5,2000,2,5,2.0,2643732.0,36,14742
1396,988.0,1721,1721,626.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1960,2,7,2.0,1700348.0,15,8605
838,928.0,928,1764,470.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,4,1997,2,7,2.0,1636992.0,18,10584
1492,996.0,996,996,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1940,1,6,0.0,992016.0,15,4980
637,1202.0,1202,1202,304.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1956,1,6,1.0,1444804.0,15,6010
1826,988.0,988,988,572.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,3,3,1961,1,5,2.0,976144.0,15,4940
173,1008.0,1028,1028,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,3,1927,1,5,2.0,1036224.0,15,5140
715,720.0,720,1284,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,3,1947,1,5,1.0,924480.0,15,6420
1183,994.0,1599,2944,864.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,4,4,1977,2,9,3.0,2926336.0,36,26496
2433,707.0,707,1414,403.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,4,2004,2,6,2.0,999698.0,32,11312
2866,637.0,959,1609,579.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,4,1932,1,8,3.0,1024933.0,21,11263
2311,813.0,813,1525,400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,1997,2,6,2.0,1239825.0,18,9150
1551,624.0,1092,1656,288.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,3,1967,1,7,1.0,1033344.0,10,8280
1049,1055.0,1055,1055,440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,4,3,1977,2,4,2.0,1113025.0,21,7385
657,676.0,676,1352,720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,4,1939,2,7,2.0,913952.0,15,6760
414,855.0,855,1456,440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,1977,2,6,2.0,1244880.0,18,8736
1181,1719.0,1719,1719,473.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,4,4,1993,1,6,2.0,2954961.0,32,13752
1514,864.0,864,864,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1925,1,5,0.0,746496.0,15,4320
1040,483.0,483,987,264.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,1973,1,5,1.0,476721.0,18,5922
